.id,dataset,replicate.merging,rarity.cutoff,sample.type,frequency,percentage,log.freq,loess.5,loess.5.secderiv,Core,In-between,Satellite,,log10,sites,moving avg,lowess,loess,sgolay,rlowess,rloess,knot5,knot15,knot25,knot35,knot45,knot55,ln,sites,moving avg,lowess,loess,sgolay,rlowess,rloess,knot5,knot15,knot25,knot35,knot45,knot55,second derivative of ln data --> ,sites,moving avg,lowess,loess,sgolay,rlowess,rloess,knot5,knot15,knot25,knot35,knot45,knot55
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,96,23,4.564348191,4.520576233,-0.005279059,93-100,Nov-92,10-Jan,,,21,1.982271233,1.982271233,1.982271233,1.982271233,1.982271233,1.982271233,1.959789792,1.974634281,1.982271233,1.980474564,1.974825586,1.982271233,,21,4.564348191,4.564348191,4.564348191,4.564348191,4.564348191,4.564348191,4.51258276,4.54676346,4.564348191,4.560211208,4.547203956,4.564348191,,21,0.021561168,-0.018171137,-0.049352189,-0.03306945,-0.014505463,-0.049352189,0.00451587,-0.012554519,0.021175088,0.022314944,-0.007456216,-0.017067331
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,81,24,4.394449155,4.459551762,-0.001811888,93-100,Nov-92,10-Jan,,,22,1.908485019,1.908485019,1.908485019,1.908485019,1.908485019,1.908485019,1.943758135,1.935604386,1.908485019,1.933962307,1.935932357,1.908485019,,22,4.394449155,4.394449155,4.394449155,4.394449155,4.394449155,4.394449155,4.475668506,4.456893805,4.394449155,4.453112779,4.457648986,4.394449155,,22,-0.009295647,0.011216878,0.046998905,0.017563874,0.01138906,0.046998905,0.002779398,-0.0072296,-0.0019137,0.005616016,-0.038936436,-0.018366586
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,85,25,4.442651256,4.396040271,-0.002395514,93-100,Nov-92,10-Jan,,,23,1.929418926,1.929418926,1.929418926,1.929418926,1.929418926,1.929418926,1.919578383,1.906193098,1.929418926,1.89887011,1.906339661,1.929418926,,23,4.442651257,4.442651257,4.442651257,4.442651257,4.442651257,4.442651257,4.41999257,4.389171812,4.442651257,4.372310009,4.389509286,4.442651257,,23,-0.003374221,0.013950124,0.018373708,0.02107269,0.013661384,0.018373708,0.001042925,-0.00190468,-0.025002488,-0.007528846,0.019304532,0.006668302
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,74,26,4.304065093,4.330133266,-0.00297914,93-100,Nov-92,10-Jan,,,24,1.86923172,1.86923172,1.86923172,1.86923172,1.86923172,1.86923172,1.880190104,1.897702582,1.86923172,1.907152629,1.897233284,1.86923172,,24,4.304065094,4.304065094,4.304065094,4.304065094,4.304065094,4.304065094,4.329297705,4.369621676,4.304065094,4.391381214,4.368541078,4.304065094,,24,0.002044155,-0.007782316,-0.025701792,-0.010769673,-0.012177541,-0.025701792,-0.000693547,0.003420239,-0.048091276,-0.014157922,0.077545501,0.040411144
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,81,27,4.394449155,4.261417388,-0.00254117,93-100,Nov-92,10-Jan,,,25,1.908485019,1.908485019,1.908485019,1.908485019,1.908485019,1.908485019,1.873505353,1.861985762,1.908485019,1.853872669,1.86158599,1.908485019,,25,4.394449155,4.394449155,4.394449155,4.394449155,4.394449155,4.394449155,4.313905497,4.287380659,4.394449155,4.268699572,4.28646015,4.394449155,,25,-0.024790964,-0.016804796,-0.007189735,-0.014038907,-0.027605782,-0.007189735,-0.000577558,0.008745159,-0.020230309,-0.020786997,-0.03639478,0.04208248
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,61,28,4.110873864,4.191004186,0.002959878,93-100,Nov-92,10-Jan,,,26,1.785329835,1.785329835,1.785329835,1.785329835,1.785329835,1.785329835,1.820173134,1.846281511,1.785329835,1.861634112,1.837379655,1.785329835,,26,4.110873864,4.110873864,4.110873864,4.110873864,4.110873864,4.110873864,4.191103525,4.251220285,4.110873864,4.286570955,4.230723004,4.110873864,,26,0.002158002,-0.036531689,-0.02226031,-0.05408779,-0.030274425,-0.02226031,-0.000461569,0.014070078,0.007630658,-0.016953786,-0.150335061,-0.149365291
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,75,29,4.317488114,4.123550862,0.008460927,93-100,Nov-92,10-Jan,,,27,1.875061263,1.875061263,1.875061263,1.875061263,1.875061263,1.875061263,1.784366006,1.788585506,1.875061263,1.784487148,1.768876165,1.875061263,,27,4.317488113,4.317488113,4.317488113,4.317488113,4.317488113,4.317488113,4.108654566,4.118370324,4.317488113,4.108933506,4.072987889,4.317488113,,27,0.019669339,0.000208602,-0.087176694,-0.002162872,0.021335706,-0.087176694,-0.000345579,0.019394997,0.035491626,-0.007413872,-0.001175859,-0.09109942
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,46,30,3.828641396,4.064626054,0.014367505,93-100,Nov-92,10-Jan,,,28,1.662757832,1.662757832,1.662757832,1.662757832,1.662757832,1.662757832,1.763904997,1.731398396,1.662757832,1.722155481,1.724933964,1.662757832,,28,3.828641397,3.828641397,3.828641397,3.828641397,3.828641397,3.828641397,4.061541352,3.986692137,3.828641397,3.965409538,3.971807232,3.828641397,,28,0.001368276,0.058189746,0.153118539,0.076057705,0.093563233,0.153118539,-0.00022959,0.017491312,0.055051078,0.002126041,0.174293292,0.279308502
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,49,31,3.891820298,4.02006875,0.020274082,93-100,Nov-92,10-Jan,,,29,1.69019608,1.69019608,1.69019608,1.69019608,1.69019608,1.69019608,1.729395801,1.71554763,1.69019608,1.711344333,1.713230256,1.69019608,,29,3.891820298,3.891820298,3.891820298,3.891820298,3.891820298,3.891820298,3.982080991,3.950194399,3.891820298,3.94051595,3.944858448,3.891820298,,29,0.029420805,0.042017498,0.061854896,0.04606109,0.070641881,0.061854896,-0.000113601,0.012696185,0.033102952,0.046399191,0.069378813,0.093647452
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,64,32,4.158883083,3.993751083,0.01397399,93-100,Nov-92,10-Jan,,,30,1.806179974,1.806179974,1.806179974,1.806179974,1.806179974,1.806179974,1.710013799,1.717601223,1.806179974,1.714802616,1.775024256,1.806179974,,30,4.158883083,4.158883083,4.158883083,4.158883083,4.158883083,4.158883083,3.937452282,3.954922972,4.158883083,3.948478941,4.087144392,4.158883083,,30,0.05008307,0.009314828,-0.098695052,-0.000779674,-0.037445479,-0.098695052,2.39E-06,0.007901058,0.011154826,0.092843168,-0.097843138,-0.261387485
