".id","dataset","replicate.merging","rarity.cutoff","sample.type","frequency","percentage","log.freq","loess.5","loess.5.secderiv","Core","In-between","Satellite"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",22,76,3.09104245335832,3.55772120075019,0.0157245227194088,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",32,77,3.46573590279973,3.55330853035158,0.0131898482819732,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",41,78,3.71357206670431,3.56219765967372,0.0113268824771909,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",31,80,3.43398720448515,3.61209359994478,0.00760095086762624,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",49,81,3.89182029811063,3.64886093976028,0.00265674791963962,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",35,82,3.55534806148941,3.68917312416082,0.00304112496409103,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",37,83,3.61091791264422,3.73252643352545,0.00342550200854244,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",53,84,3.97029191355212,3.77742212778067,-0.00748882365473308,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",45,85,3.80666248977032,3.81685163178423,-0.00626734889957243,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",57,86,4.04305126783455,3.85001378688822,-0.0050458741444118,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",44,87,3.78418963391826,3.87921096959236,0.00266101107815938,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",49,88,3.89182029811063,3.91106916337466,0.0103678963007305,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",51,89,3.93182563272433,3.95290645811072,0.0157420094414362,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",46,90,3.8286413964891,4.0093657365057,0.0143959678870898,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",62,91,4.12713438504509,4.08022098278777,0.0130499263327434,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",65,92,4.17438726989564,4.16342848454965,0.00751785966076452,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",77,94,4.34380542185368,4.34984718009423,0.000926995882570962,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",67,95,4.20469261939097,4.44609473763493,-0.0023684360065258,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",89,96,4.48863636973214,4.53838639625468,-0.0151886453821182,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",96,97,4.56434819146784,4.61349868807381,-0.0399531832687599,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",154,98,5.03695260241363,4.64865779662417,-0.0647177211554014,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",322,99,5.77455154554441,4.62703665821755,-0.0418574138515693,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",31,100,3.43398720448515,4.56355810595936,-0.0189971065477374,"83-100","11-82","1-10"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",8169,1,9.00810178134187,8.54242039205218,-0.000910608560531045,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",2802,2,7.93808872689695,8.05921345534207,0.0272773837322721,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",1716,3,7.44775128004791,7.60100427291389,0.041787599323033,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",1123,4,7.02375895473844,7.18458268980873,0.0562978149137939,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",841,5,6.73459165997295,6.82218271098183,0.0571507666912396,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",626,6,6.4393503711001,6.51592110149322,0.0519293343511074,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",519,7,6.25190388316589,6.26158882635573,0.0467079020109751,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",442,8,6.0913098820777,6.05364178158957,0.0395504398329901,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",334,9,5.8111409929767,5.88499583458106,0.0308969252029146,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",304,11,5.71702770140622,5.63174120154269,0.0135898959427636,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",274,12,5.61312810638807,5.53028965817209,0.00772141282911147,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",228,13,5.42934562895444,5.43735049574719,0.00659873841492845,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",201,14,5.30330490805908,5.35101007173721,0.00547606400074542,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",207,15,5.33271879326537,5.26999126982575,0.00342673817319805,"80-100","19-79","1-18"
