"Mass","Mean","Median","SD","SED_Mean","SED_Median","SED_SD","SW_Mean","SW_Median","SW_SD"
227.092465961673,56.46,58,9.22,57.73,60,8.17,55.24,55,10.02
227.103708123404,19.88,20,5.78,20.16,21,5.62,17.33,19,6.87
227.128872213729,47.2,50,9.32,53.68,55,6.16,40.11,39,6.64
227.140102377895,12.33,13,3.62,12.33,13,3.62,NA,NA,NA
227.165256441309,40.96,41,2.65,40.96,41,2.65,NA,NA,NA
228.160509533819,15.01,16.5,5.43,17.88,18,3.13,8.31,8,3.33
228.861173192459,2,2,0.43,2,2,0.43,NA,NA,NA
228.969241081924,2.09,2,0.79,2.31,2,0.69,1.63,1,0.77
229.017595740562,18.77,15,14.04,8.38,6,7.55,25.71,21.5,13.1
229.024894259558,3.79,3,1.99,3.79,3,1.99,NA,NA,NA
229.035349694013,48.77,48,5.86,45.56,46,4.48,51.18,51,5.64
229.071741258755,51.89,54,9.57,52.7,55,8.9,51.11,52,10.17
229.108115116444,45.02,45,8.48,49.36,51,7.44,40.54,40,7.07
229.144519996425,35.91,35,9.55,44.24,45,5.16,27.84,27,4.59
229.155740961779,9.14,9,2.36,9.14,9,2.36,NA,NA,NA
229.180912594677,36.86,38,4.06,37.04,38,3.75,23,23,NA
229.996637634118,1,1,NA,1,1,NA,NA,NA,NA
230.103390855762,32.29,32,7.57,31.82,32,7.51,37.43,39,6.75
230.139762503788,23.17,24,4.87,23.47,24,4.44,17.5,15.5,9.33
231.021938313182,1.56,1,0.79,1.56,1,0.79,NA,NA,NA
231.029877682756,43.71,44,8.97,33.91,34.5,4.63,48.54,48,6.22
231.033265296901,16.64,12,12.06,11.84,11,5.57,31.04,29,14.71
231.05101195753,47.04,47,9.22,41.59,41.5,7.18,52.94,52.5,7.37
231.087383471431,51.59,53,8.2,53.69,56,7.96,49.46,49,7.93
231.123754306216,24.42,25,4.77,27.38,28,3.99,20.92,21,2.89
231.135026698927,14.16,14,3.77,14.16,14,3.77,NA,NA,NA
231.160163006086,32.09,32,3.21,32.09,32,3.21,NA,NA,NA
232.082660716275,36.26,36,7.53,35.14,34,7.54,42.8,43,2.77
232.119021471042,34.17,35,3.77,34.32,35.5,3.8,31,31,NA
232.92468108489,1,1,0,1,1,0,1,1,NA
233.009146328913,47.23,48,11.99,36.11,36,6.87,55.6,56,7.26
233.030290893025,49.62,48.5,9.68,49.62,48.5,9.68,NA,NA,NA
233.045530744435,44.9,45,8.29,37.6,38,5.21,49.94,50,5.92
233.05618899739,3.3,3,1.91,3.33,3,1.9,1,1,NA
233.058589040756,27.18,27,3.98,26.26,26,3.58,28.6,28,4.17
233.066675889465,66.9,67,10.24,61.66,60,7.6,76.31,75,7.16
233.077906535317,9.97,9,3.46,9.97,9,3.46,NA,NA,NA
233.081920778568,41.97,44,6.78,35.12,35.5,5.03,46.05,46,3.68
233.103048775553,48.17,50,6.07,49.94,51,5.69,44.96,44.5,5.44
233.118284192922,30.79,31,4.98,27.56,28,4.05,32.23,32,4.69
233.154684480267,19.29,20,5.44,23.08,24,3.83,15.59,15,4.05
235.024791246263,49.23,48,12.91,39.28,39,8.22,56.94,60,10.37
235.03045310468,1,1,NA,1,1,NA,NA,NA,NA
235.061187254299,56.64,58,13.32,46.47,46,9.9,65.19,67.5,9.16
