"Mass","MolForm"
"220.0463175","C7H11O7N"
"220.0532702","C11H12O2NP"
"220.0614803","C11H11O4N"
"220.0616004","C11H11O4N"
"220.0979011","C12H15O3N"
"220.0980271","C12H15O3N"
"220.9219481","C5H2O6S2"
"220.9584147","C6H6O5S2"
"220.9695728","C5H6O4N2S2"
"220.9913602","C10H6O4S"
"221.0091259","C10H6O6"
"221.0092462","C10H6O6"
"221.012518","C7H10O6S"
"221.019496","C11H11OSP"
"221.0196193","C11H11OSP"
"221.0203443","C9H6O5N2"
"221.0277828","C11H10O3S"
"221.0316135","C8H6O4N4"
"221.0405793","C8H15O3SP"
"221.0455191","C11H10O5"
"221.048891","C8H14O5S"
"221.049007","C8H14O5S"
"221.0583668","C8H15O5P"
"221.0607794","C15H10O2"
"221.0666255","C8H14O7"
"221.0679634","C9H10O3N4"
"221.0754115","C11H14ON2S"
"221.0779805","C7H14O6N2"
"221.0818912","C12H14O4"
"221.0849949","C9H18O4S"
"221.0853499","C9H18O4S"
"221.0931493","C11H14O3N2"
"221.1031015","C9H18O6"
"221.1182865","C13H18O3"
"221.1184196","C13H18O3"
"221.121674","C10H22O3S"
"221.1546776","C14H22O2"
"221.1910689","C15H26O"
"222.0043852","C9H5O6N"
"222.0155522","C8H5O5N3"
"222.0407486","C10H9O5N"
"222.040876","C10H9O5N"
"222.0771399","C11H13O4N"
"222.0772577","C11H13O4N"
"222.1135588","C12H17O3N"
"222.9640994","C8H4O2N2S2"
"223.0036196","C13H4O4"
"223.0070509","C10H8O4S"
"223.0101144","C9H9ON2SP"
"223.0183502","C9H8O3N2S"
"223.0198957","C7H13O4SP"
"223.0222641","C14H8OS"
"223.0247931","C10H8O6"
"223.0249167","C10H8O6"
"223.0282192","C7H12O6S"
"223.036013","C9H8O5N2"
"223.0389539","C8H9O2N4P"
"223.0400483","C14H8O3"
"223.0434331","C11H12O3S"
"223.0490406","C6H13O5N2P"
"223.0611523","C11H12O5"
"223.0613009","C11H12O5"
"223.0645431","C8H16O5S"
"223.0723955","C10H12O4N2"
"223.0975605","C12H16O4"
"223.1088749","C11H16O3N2"
"223.1339546","C13H20O3"
"223.145128","C12H20O2N2"
"223.9948095","C7H3O6N3"
"224.0021898","C9H7O4NS"
"224.0023283","C9H7O4NS"
"224.0200135","C9H7O6N"
"224.0201577","C9H7O6N"
"224.0564233","C10H11O5N"
"224.0565526","C10H11O5N"
"224.0676152","C9H11O4N3"
"224.092781","C11H15O4N"
"224.1291591","C12H19O3N"
"224.9563062","C4H7O3N2S2P"
"224.9818987","C6H3O4N4P"
"224.9862909","C9H6O5S"
"225.0040321","C9H6O7"
"225.0074317","C6H10O7S"
"225.0152158","C8H6O6N2"
"225.0153761","C8H6O6N2"
"225.0226783","C10H10O4S"
"225.0404494","C10H10O6"
"225.0414189","C11H14OS2"
"225.0438233","C7H14O6S"
"225.0516605","C9H10O5N2"
"225.0518029","C9H10O5N2"
"225.0557149","C14H10O3"
"225.0590474","C11H14O3S"
"225.0628904","C8H10O4N4"
"225.0768195","C11H14O5"
"225.0880535","C10H14O4N2"
"225.0881933","C10H14O4N2"
"225.1131873","C12H18O4"
"225.1133301","C12H18O4"
"225.1496041","C13H22O3"
"225.1607669","C12H22O2N2"
"226.0178599","C9H9O4NS"
"226.0356785","C9H9O6N"
"226.072077","C10H13O5N"
"226.1084496","C11H17O4N"
"226.1085685","C11H17O4N"
"226.1270799","C12H21ONS"
"226.144834","C12H21O3N"
"227.0019215","C9H8O5S"
"227.005347","C6H12O5S2"
"227.0171862","C13H8O2S"
"227.0196895","C9H8O7"
"227.0198183","C9H8O7"
"227.0309327","C8H8O6N2"
"227.0326002","C6H13O7P"
"227.0349777","C13H8O4"
"227.0383214","C10H12O4S"
"227.056079","C10H12O6"
"227.0562196","C10H12O6"
"227.067293","C9H12O5N2"
"227.0712937","C14H12O3"
"227.0747174","C11H16O3S"
"227.092466","C11H16O5"
"227.1037081","C10H16O4N2"
"227.1110799","C12H20O2S"
"227.1288722","C12H20O4"
"227.1401024","C11H20O3N2"
"227.1652564","C13H24O3"
"227.2016278","C14H28O2"
"227.9608397","C7H3O6NS"
"227.9972087","C8H7O5NS"
"228.0252789","C9H12O2NSP"
"228.0335725","C9H11O4NS"
"228.0513116","C9H11O6N"
"228.0514474","C9H11O6N"
"228.0699257","C10H15O3NS"
"228.0878326","C10H15O5N"
"228.1241247","C11H19O4N"
"228.1605095","C12H23O3N"
"228.9812399","C8H6O6S"
"229.0142045","C12H6O5"
"229.0175957","C9H10O5S"
"229.0206056","C8H11O2N2SP"
"229.0353497","C9H10O7"
"229.0354795","C9H10O7"
"229.0466128","C8H10O6N2"
"229.050599","C13H10O4"
"229.0539812","C10H14O4S"
"229.0717413","C10H14O6"
"229.0765508","C8H14O2N4S"
"229.0830046","C9H14O5N2"
"229.0870942","C14H14O3"
"229.1081151","C11H18O5"
"229.1193455","C10H18O4N2"
"229.14452","C12H22O4"
"229.155741","C11H22O3N2"
"229.1809126","C13H26O3"
"229.1810314","C13H26O3"
"229.9586304","C7H5O4NS2"
"229.958754","C7H5O4NS2"
"230.0128488","C8H9O5NS"
"230.0129754","C8H9O5NS"
"230.0206459","C10H5O4N3"
"230.0458386","C12H9O4N"
"230.0669846","C9H13O6N"
"230.0671245","C9H13O6N"
"230.082315","C13H13O3N"
"230.0968018","C9H17O2N3S"
"230.1033909","C10H17O5N"
"230.1035061","C10H17O5N"
"230.1397625","C11H21O4N"
"230.9428043","C7H4O5S2"
"230.9791152","C8H8O4S2"
"230.9969021","C8H8O6S"
"231.0080586","C7H8O5N2S"
"231.0146511","C8H8O8"
"231.0298777","C12H8O5"
"231.0332653","C9H12O5S"
"231.051012","C9H12O7"
"231.062281","C8H12O6N2"
"231.0630448","C9H16ON2S2"
"231.0662593","C13H12O4"
"231.0663908","C13H12O4"
"231.0696453","C10H16O4S"
"231.0873835","C10H16O6"
"231.0986346","C9H16O5N2"
"231.0987563","C9H16O5N2"
"231.101529","C8H17O2N4P"
"231.1025998","C14H16O3"
"231.1027592","C14H16O3"
