sample,total.transformations
Sample_S19S_0042_ICR.2_p05,47772
Sample_S19S_0042_ICR.3_p05,36974
Sample_S19S_0042_Sed_Field_ICR.D_p2,26858
Sample_S19S_0042_Sed_Field_ICR.M_p2,23470
Sample_S19S_0042_Sed_Field_ICR.U_p2,27847
Sample_S19S_0043_ICR.1_p05,41996
Sample_S19S_0043_ICR.2_p05,44924
Sample_S19S_0043_ICR.3_p05,37440
Sample_S19S_0043_Sed_Field_ICR.D_p2,23281
Sample_S19S_0043_Sed_Field_ICR.M_p2,28457
Sample_S19S_0043_Sed_Field_ICR.U_p2,33274
Sample_S19S_0044_ICR.1_p05,40872
Sample_S19S_0044_ICR.2_p05,36084
Sample_S19S_0044_ICR.3_p05,37744
Sample_S19S_0044_Sed_Field_ICR.D_p2,21581
Sample_S19S_0044_Sed_Field_ICR.M_p15,38130
Sample_S19S_0044_Sed_Field_ICR.U_p2,28786
Sample_S19S_0045_ICR.1_p05,52072
Sample_S19S_0045_ICR.2_p05,45025
Sample_S19S_0045_ICR.3_p05,41411
Sample_S19S_0045_Sed_Field_ICR.M_p2,9782
Sample_S19S_0046_Sed_Field_ICR.D_p1,17403
Sample_S19S_0047_ICR.1_p05,38010
Sample_S19S_0047_ICR.2_p05,34532
Sample_S19S_0047_ICR.3_p05,39158
Sample_S19S_0047_Sed_Field_ICR.D_p15,17296
Sample_S19S_0048_ICR.1_p05,16328
Sample_S19S_0048_ICR.2_p05,5138
Sample_S19S_0048_ICR.3_p05,30103
Sample_S19S_0049_ICR.1_p05,40926
Sample_S19S_0049_ICR.2_p05,13135
Sample_S19S_0049_ICR.3_p05,30882
Sample_S19S_0049_Sed_Field_ICR.D_p2,20960
Sample_S19S_0049_Sed_Field_ICR.M_p2,15609
Sample_S19S_0049_Sed_Field_ICR.U_p2,21804
Sample_S19S_0050_ICR.1_p05,37040
Sample_S19S_0050_ICR.2_p05,36928
Sample_S19S_0050_ICR.3_p05,35441
Sample_S19S_0050_Sed_Field_ICR.D_p15,14303
Sample_S19S_0050_Sed_Field_ICR.M_p15,14985
Sample_S19S_0050_Sed_Field_ICR.U_p15,28234
Sample_S19S_0051_ICR.1_p05,38709
Sample_S19S_0051_ICR.2_p05,37897
Sample_S19S_0051_ICR.3_p05,32147
Sample_S19S_0051_Sed_Field_ICR.M_p15,14698
Sample_S19S_0051_Sed_Field_ICR.U_p15,10962
Sample_S19S_0052_ICR.1_p05,39592
Sample_S19S_0052_ICR.2_p05,29023
Sample_S19S_0052_ICR.3_p05,40387
Sample_S19S_0052_Sed_Field_ICR.D_p2,15735
Sample_S19S_0052_Sed_Field_ICR.M_p2,18311
Sample_S19S_0052_Sed_Field_ICR.U_p2,20459
Sample_S19S_0053_ICR.1_p05,51976
Sample_S19S_0053_ICR.2_p05,50409
Sample_S19S_0053_ICR.3_p05,48450
Sample_S19S_0053_Sed_Field_ICR.D_p2,24981
Sample_S19S_0053_Sed_Field_ICR.M_p2,21160
Sample_S19S_0053_Sed_Field_ICR.U_p2,26379
Sample_S19S_0054_ICR.1_p05,45757
Sample_S19S_0054_ICR.2_p05,40239
Sample_S19S_0054_ICR.3_p05,30127
Sample_S19S_0054_Sed_Field_ICR.D_p2,29602
Sample_S19S_0054_Sed_Field_ICR.M_p2,28104
Sample_S19S_0054_Sed_Field_ICR.U_p2,28802
Sample_S19S_0055_ICR.1_p05,48727
Sample_S19S_0055_ICR.2_p05,46712
Sample_S19S_0055_ICR.3_p05,53882
Sample_S19S_0055_Sed_Field_ICR.D_p2,16528
Sample_S19S_0055_Sed_Field_ICR.M_p2,16928
Sample_S19S_0055_Sed_Field_ICR.U_p2,15361
Sample_S19S_0056_ICR.1_p05,32509
Sample_S19S_0056_ICR.2_p05,51651
Sample_S19S_0056_Sed_Field_ICR.D_p2,29626
Sample_S19S_0056_Sed_Field_ICR.M_p2,27247
Sample_S19S_0056_Sed_Field_ICR.U_p2,32217
Sample_S19S_0057_ICR.1_p05,43543
Sample_S19S_0057_ICR.2_p05,44444
Sample_S19S_0057_ICR.3_p05,39474
Sample_S19S_0057_Sed_Field_ICR.D_p2,23143
Sample_S19S_0057_Sed_Field_ICR.M_p2,20793
Sample_S19S_0057_Sed_Field_ICR.U_p2,17804
Sample_S19S_0058_ICR.1_p05,25333
Sample_S19S_0058_ICR.2_p05,23651
Sample_S19S_0058_ICR.3_p05,28531
Sample_S19S_0058_Sed_Field_ICR.D_p2,25328
Sample_S19S_0058_Sed_Field_ICR.U_p2,30391
Sample_S19S_0059_ICR.1_p05,36693
Sample_S19S_0059_ICR.2_p05,37996
Sample_S19S_0059_ICR.3_p05,36122
Sample_S19S_0059_Sed_Field_ICR.D_p15,8179
Sample_S19S_0059_Sed_Field_ICR.M_p15,19122
Sample_S19S_0059_Sed_Field_ICR.U_p15,6562
Sample_S19S_0060_ICR.1_p05,45843
Sample_S19S_0060_ICR.2_p05,40246
Sample_S19S_0060_ICR.3_p05,32936
Sample_S19S_0060_Sed_Field_ICR.D_p2,18721
Sample_S19S_0060_Sed_Field_ICR.M_p2,20196
Sample_S19S_0060_Sed_Field_ICR.U_p2,20512
Sample_S19S_0061_ICR.1_p05,49442
Sample_S19S_0061_ICR.2_p05,41623
Sample_S19S_0061_ICR.3_p05,47398
Sample_S19S_0061_Sed_Field_ICR.D_p2,26077
Sample_S19S_0061_Sed_Field_ICR.M_p2,29606
Sample_S19S_0061_Sed_Field_ICR.U_p15,3602
Sample_S19S_0062_ICR.1_p05,43497
Sample_S19S_0062_ICR.2_p05,42834
Sample_S19S_0062_ICR.3_p05,37454
Sample_S19S_0062_Sed_Field_ICR.D_p15,30040
Sample_S19S_0062_Sed_Field_ICR.M_p15,27155
Sample_S19S_0062_Sed_Field_ICR.U_p15,36793
Sample_S19S_0063_ICR.1_p05,47544
Sample_S19S_0063_ICR.2_p05,45974
Sample_S19S_0063_ICR.3_p05,48124
Sample_S19S_0063_Sed_Field_ICR.D_p15,8009
Sample_S19S_0063_Sed_Field_ICR.M_p2,23029
Sample_S19S_0063_Sed_Field_ICR.U_p2,17391
Sample_S19S_0064_ICR.1_p05,31454
Sample_S19S_0064_ICR.2_p05,41001
Sample_S19S_0064_ICR.3_p05,40543
Sample_S19S_0064_Sed_Field_ICR.D_p2,23306
Sample_S19S_0064_Sed_Field_ICR.M_p2,25185
Sample_S19S_0064_Sed_Field_ICR.U_p15,10154
Sample_S19S_0065_ICR.1_p05,39819
Sample_S19S_0065_ICR.2_p05,36921
Sample_S19S_0065_ICR.3_p05,42480
Sample_S19S_0065_Sed_Field_ICR.D_p2,31165
Sample_S19S_0065_Sed_Field_ICR.M_p2,24346
Sample_S19S_0065_Sed_Field_ICR.U_p2,22757
Sample_S19S_0066_ICR.1_p05,43838
Sample_S19S_0066_ICR.2_p05,42199
Sample_S19S_0066_Sed_Field_ICR.D_p2,26680
Sample_S19S_0066_Sed_Field_ICR.M_p2,26082
Sample_S19S_0066_Sed_Field_ICR.U_p2,29502
Sample_S19S_0067_ICR.1_p05,41853
Sample_S19S_0067_ICR.2_p05,42526
Sample_S19S_0067_ICR.3_p05,47616
Sample_S19S_0067_Sed_Field_ICR.D_p2,17064
Sample_S19S_0067_Sed_Field_ICR.M_p2,23600
Sample_S19S_0068_ICR.1_p05,28983
Sample_S19S_0068_ICR.2_p05,31306
Sample_S19S_0068_ICR.3_p05,9504
Sample_S19S_0068_Sed_Field_ICR.M_p2,28446
Sample_S19S_0068_Sed_Field_ICR.U_p2,18001
Sample_S19S_0069_ICR.1_p05,21172
Sample_S19S_0069_ICR.2_p05,29802
Sample_S19S_0069_ICR.3_p05,27871
Sample_S19S_0069_Sed_Field_ICR.D_p2,23416
Sample_S19S_0069_Sed_Field_ICR.M_p2,25473
Sample_S19S_0069_Sed_Field_ICR.U_p2,24753
Sample_S19S_0070_ICR.1_p05,35594
Sample_S19S_0070_ICR.2_p05,32472
Sample_S19S_0070_ICR.3_p05,30872
Sample_S19S_0070_Sed_Field_ICR.D_p2,24383
Sample_S19S_0070_Sed_Field_ICR.M_p2,23705
Sample_S19S_0070_Sed_Field_ICR.U_p2,28225
Sample_S19S_0071_ICR.1_p05,28335
Sample_S19S_0071_ICR.2_p05,25367
Sample_S19S_0071_ICR.3_p05,29773
Sample_S19S_0071_Sed_Field_ICR.M_p2,23370
Sample_S19S_0071_Sed_Field_ICR.U_p2,19721
Sample_S19S_0072_ICR.1_p05,38758
Sample_S19S_0072_ICR.2_p05,37568
Sample_S19S_0072_ICR.3_p05,41262
Sample_S19S_0072_Sed_Field_ICR.M_p2,23265
Sample_S19S_0072_Sed_Field_ICR.U_p2,28374
Sample_S19S_0073_ICR.1_p05,43450
Sample_S19S_0073_ICR.2_p05,48465
Sample_S19S_0073_ICR.3_p05,47171
Sample_S19S_0073_Sed_Field_ICR.D_p2,27976
Sample_S19S_0073_Sed_Field_ICR.M_p2,25758
Sample_S19S_0073_Sed_Field_ICR.U_p2,26041
Sample_S19S_0074_ICR.1_p05,40334
Sample_S19S_0074_ICR.2_p05,40182
Sample_S19S_0074_ICR.3_p05,50412
Sample_S19S_0074_Sed_Field_ICR.M_p2,20435
Sample_S19S_0074_Sed_Field_ICR.U_p2,21076
Sample_S19S_0075_ICR.1_p05,39704
Sample_S19S_0075_ICR.2_p05,43457
Sample_S19S_0075_ICR.3_p05,24775
Sample_S19S_0075_Sed_Field_ICR.D_p2,13841
Sample_S19S_0075_Sed_Field_ICR.M_p2,17599
Sample_S19S_0076_ICR.1_p05,43611
Sample_S19S_0076_ICR.2_p05,38530
Sample_S19S_0076_ICR.3_p05,43459
Sample_S19S_0076_Sed_Field_ICR.D_p2,16025
Sample_S19S_0076_Sed_Field_ICR.M_p1,17255
Sample_S19S_0076_Sed_Field_ICR.U_p1,23278
Sample_S19S_0077_ICR.1_p05,38884
Sample_S19S_0077_ICR.2_p05,24598
Sample_S19S_0077_ICR.3_p05,33231
Sample_S19S_0077_Sed_Field_ICR.M_p2,22088
Sample_S19S_0077_Sed_Field_ICR.U_p2,22155
Sample_S19S_0078_ICR.1_p05,39619
Sample_S19S_0078_ICR.2_p05,36237
Sample_S19S_0078_ICR.3_p05,40535
Sample_S19S_0078_Sed_Field_ICR.D_p2,24461
Sample_S19S_0078_Sed_Field_ICR.M_p2,18934
Sample_S19S_0078_Sed_Field_ICR.U_p2,25605
Sample_S19S_0079_ICR.1_p05,40326
Sample_S19S_0079_ICR.2_p05,42235
Sample_S19S_0079_ICR.3_p05,42169
Sample_S19S_0079_Sed_Field_ICR.D_p2,1943
Sample_S19S_0080_ICR.1_p05,40355
Sample_S19S_0080_ICR.2_p05,42742
Sample_S19S_0080_Sed_Field_ICR.D_p2,28369
Sample_S19S_0080_Sed_Field_ICR.M_p2,22065
Sample_S19S_0080_Sed_Field_ICR.U_p2,19453
Sample_S19S_0081_ICR.1_p05,48191
Sample_S19S_0081_ICR.2_p05,50781
Sample_S19S_0081_ICR.3_p05,44276
Sample_S19S_0081_Sed_Field_ICR.M_p2,24819
Sample_S19S_0081_Sed_Field_ICR.U_p2,15760
Sample_S19S_0082_ICR.1_p05,50817
Sample_S19S_0082_ICR.2_p05,37079
Sample_S19S_0082_ICR.3_p05,40058
Sample_S19S_0082_Sed_Field_ICR.D_p2,27299
Sample_S19S_0082_Sed_Field_ICR.M_p2,31318
Sample_S19S_0082_Sed_Field_ICR.U_p2,21018
Sample_S19S_0083_ICR.1_p05,52252
Sample_S19S_0083_ICR.2_p05,46833
Sample_S19S_0083_ICR.3_p05,49698
Sample_S19S_0083_Sed_Field_ICR.D_p2,19801
Sample_S19S_0083_Sed_Field_ICR.M_p2,22654
Sample_S19S_0084_ICR.1_p05,23685
Sample_S19S_0084_ICR.2_p05,31961
Sample_S19S_0084_ICR.3_p05,31203
Sample_S19S_0084_Sed_Field_ICR.D_p2,23990
Sample_S19S_0084_Sed_Field_ICR.M_p2,17620
Sample_S19S_0084_Sed_Field_ICR.U_p2,22813
Sample_S19S_0085_ICR.1_p05,12279
Sample_S19S_0085_ICR.2_p05,38725
Sample_S19S_0085_ICR.3_p05,36111
Sample_S19S_0085_Sed_Field_ICR.D_p15,12597
Sample_S19S_0085_Sed_Field_ICR.M_p15,16486
Sample_S19S_0086_ICR.2_p05,15339
Sample_S19S_0086_ICR.3_p05,25852
Sample_S19S_0086_Sed_Field_ICR.D_p2,19753
Sample_S19S_0086_Sed_Field_ICR.M_p2,23342
Sample_S19S_0086_Sed_Field_ICR.U_p2,22583
Sample_S19S_0087_ICR.1_p05,42312
Sample_S19S_0087_ICR.2_p05,41590
Sample_S19S_0087_ICR.3_p05,39050
Sample_S19S_0087_Sed_Field_ICR.D_p15,3921
Sample_S19S_0087_Sed_Field_ICR.U_p15,7296
Sample_S19S_0089_ICR.1_p05,57317
Sample_S19S_0089_ICR.2_p05,58254
Sample_S19S_0089_ICR.3_p05,49170
Sample_S19S_0089_Sed_Field_ICR.D_p2,18179
Sample_S19S_0089_Sed_Field_ICR.U_p2,19656
Sample_S19S_0090_ICR.2_p05,45134
Sample_S19S_0090_ICR.3_p05,46416
Sample_S19S_0090_Sed_Field_ICR.D_p2,22733
Sample_S19S_0090_Sed_Field_ICR.M_p2,23121
Sample_S19S_0090_Sed_Field_ICR.U_p2,26928
Sample_S19S_0091_ICR.3_p05,22735
Sample_S19S_0091_Sed_Field_ICR.D_p2,19653
Sample_S19S_0091_Sed_Field_ICR.U_p2,16525
Sample_S19S_0092_ICR.1_p05,42567
Sample_S19S_0092_ICR.2_p05,41747
Sample_S19S_0092_ICR.3_p05,43083
Sample_S19S_0092_Sed_Field_ICR.D_p2,20016
Sample_S19S_0092_Sed_Field_ICR.M_p1,8829
Sample_S19S_0092_Sed_Field_ICR.U_p2,29133
Sample_S19S_0093_ICR.1_p05,42718
Sample_S19S_0093_ICR.2_p05,42884
Sample_S19S_0093_ICR.3_p05,35292
Sample_S19S_0093_Sed_Field_ICR.D_p15,29031
Sample_S19S_0093_Sed_Field_ICR.M_p15,7506
Sample_S19S_0093_Sed_Field_ICR.U_p15,5526
Sample_S19S_0094_ICR.1_p05,41526
Sample_S19S_0094_ICR.2_p05,32068
Sample_S19S_0094_ICR.3_p05,31497
Sample_S19S_0094_Sed_Field_ICR.D_p15,13923
Sample_S19S_0094_Sed_Field_ICR.M_p15,12566
Sample_S19S_0094_Sed_Field_ICR.U_p15,26103
Sample_S19S_0096_ICR.1_p05,31602
Sample_S19S_0096_ICR.2_p05,29711
Sample_S19S_0096_Sed_Field_ICR.M_p2,13231
Sample_S19S_0097_ICR.1_p05,44811
Sample_S19S_0097_ICR.2_p05,42733
Sample_S19S_0097_ICR.3_p05,28501
Sample_S19S_0097_Sed_Field_ICR.D_p2,17179
Sample_S19S_0097_Sed_Field_ICR.M_p15,14623
Sample_S19S_0097_Sed_Field_ICR.U_p2,20560
Sample_S19S_0098_ICR.1_p05,31238
Sample_S19S_0098_ICR.2_p05,29389
Sample_S19S_0098_ICR.3_p05,22628
Sample_S19S_0099_ICR.1_p05,45565
Sample_S19S_0099_ICR.2_p05,56188
Sample_S19S_0099_ICR.3_p05,39865
Sample_S19S_0099_Sed_Field_ICR.D_p2,18981
Sample_S19S_0099_Sed_Field_ICR.M_p2,20054
Sample_S19S_0099_Sed_Field_ICR.U_p2,20582
Sample_S19S_0100_ICR.1_p05,18030
Sample_S19S_0100_ICR.3_p05,36151
Sample_S19S_0100_Sed_Field_ICR.D_p2,23548
Sample_S19S_0100_Sed_Field_ICR.M_p2,21823
Sample_S19S_0100_Sed_Field_ICR.U_p2,27247
Sample_S19S_0001_Sed_Field_ICR.D_p2,27295
Sample_S19S_0001_Sed_Field_ICR.M_p2,26903
Sample_S19S_0001_Sed_Field_ICR.U_p2,24623
Sample_S19S_0003_ICR.1_p05,33641
Sample_S19S_0003_ICR.2_p05,35905
Sample_S19S_0003_ICR.3_p05,39054
Sample_S19S_0003_Sed_Field_ICR.D_p15,20886
Sample_S19S_0003_Sed_Field_ICR.M_p15,5768
Sample_S19S_0003_Sed_Field_ICR.U_p15,23925
Sample_S19S_0004_ICR.1_p05,41128
