"Mass","Total_all_peaks","Total_all_sed","Total_all_water","Total_mf_peaks","Total_mf_sed","Total_mf_water"
"219.0410325",3,NA,3,3,NA,3
"219.0523876",4,4,NA,4,4,NA
"219.0621801",2,2,NA,2,2,NA
"219.0662407",5104,1213,3891,5096,1205,3891
"219.0663513",4,NA,4,4,NA,4
"219.0695813",55,NA,55,55,NA,55
"219.0774907",945,945,NA,945,945,NA
"219.0873877",11172,9416,1756,10388,8749,1639
"219.0987159",6,6,NA,5,5,NA
"219.1026309",1884,171,1713,1884,171,1713
"219.1060392",76,76,NA,76,76,NA
"219.1237664",543,479,64,541,477,64
"219.1390265",1608,1608,NA,1455,1455,NA
"219.1424465",8,8,NA,8,8,NA
"219.1754173",36,15,21,36,15,21
"220.0250943",217,25,192,206,19,187
"220.0252457",11,NA,11,11,NA,11
"220.0463175",41,NA,41,41,NA,41
"220.0614803",1266,520,746,1243,498,745
"220.0616004",8,8,NA,8,8,NA
"220.0979011",315,58,257,329,59,270
"220.9913602",91,NA,91,91,NA,91
"221.0091259",7776,2482,5294,7188,2252,4936
"221.0203443",36,NA,36,36,NA,36
"221.0277828",86,NA,86,86,NA,86
"221.0316135",2,NA,2,2,NA,2
"221.0455191",16774,6182,10592,16767,6178,10589
"221.0467848",1,1,NA,1,1,NA
"221.0607794",22,NA,22,22,NA,22
"221.0666255",204,175,29,203,174,29
"221.0679634",4,NA,4,4,NA,4
"221.0779805",3,NA,3,3,NA,3
"221.0818912",10433,4328,6105,10430,4328,6102
"221.0853499",11,11,NA,11,11,NA
"221.0931493",1437,1437,NA,1433,1433,NA
"221.1031015",138,138,NA,138,138,NA
"221.1182865",4714,1740,2974,4582,1685,2897
"221.1184196",5,2,3,4,2,2
"221.1311732",1,NA,1,1,NA,1
"221.1546776",4569,3373,1196,4356,3161,1195
"221.1910689",40,40,NA,40,40,NA
"222.0043852",94,NA,94,94,NA,94
"222.0155522",2,NA,2,2,NA,2
"222.0407486",1709,241,1468,1561,206,1355
"222.0771399",3177,1170,2007,3176,1169,2007
"222.0772577",27,5,22,27,5,22
"222.1135588",176,40,136,176,40,136
"223.0036196",1,1,NA,1,1,NA
"223.0070509",45,NA,45,45,NA,45
"223.0247931",20075,6760,13315,19607,6552,13055
"223.0249167",1,1,NA,1,1,NA
"223.0282192",23,NA,23,23,NA,23
"223.0400483",79,NA,79,79,NA,79
"223.0434331",26,NA,26,26,NA,26
"223.0490406",2,2,NA,2,2,NA
"223.0611523",9226,3710,5516,9113,3651,5462
"223.0613009",3,3,NA,3,3,NA
"223.0645431",742,310,432,742,310,432
"223.0723955",568,22,546,568,22,546
"223.0871442",2,2,NA,2,2,NA
"223.0935597",492,459,33,420,399,21
"223.0975605",19821,9346,10475,19235,9112,10123
"223.1009488",128,48,80,128,48,80
"223.1088749",11,1,10,11,1,10
"223.1339546",11363,9021,2342,11085,8806,2279
"224.0023283",8,NA,8,8,NA,8
"224.0200135",1018,56,962,1017,55,962
"224.0201577",4,NA,4,4,NA,4
"224.0564233",9076,3349,5727,9072,3348,5724
"224.0565526",2,NA,2,2,NA,2
"224.0676152",4,NA,4,4,NA,4
"224.1291591",6,6,NA,6,6,NA
"224.9862909",18,NA,18,18,NA,18
"225.0040321",4291,1171,3120,4289,1171,3118
"225.0074317",1,NA,1,1,NA,1
"225.0152158",4,NA,4,4,NA,4
"225.0153761",18,2,16,18,2,16
"225.0226783",579,27,552,579,27,552
"225.0404494",29728,10137,19591,29719,10137,19582
"225.0438233",135,NA,135,133,NA,133
"225.0516605",1056,309,747,1055,308,747
"225.0518029",2,1,1,2,1,1
"225.0557149",1775,1528,247,1775,1528,247
"225.0590474",84,NA,84,84,NA,84
"225.0628904",14,NA,14,14,NA,14
"225.0768195",25579,11836,13743,25559,11827,13732
"225.0801546",7,NA,7,7,NA,7
"225.0880535",1592,1080,512,1592,1080,512
"225.1131873",8833,4807,4026,8823,4797,4026
"225.1133301",4,4,NA,3,3,NA
"225.1496041",9320,8491,829,9235,8415,820
"226.0356785",3125,340,2785,3122,338,2784
"226.1084496",984,688,296,984,688,296
"226.1085685",4,4,NA,4,4,NA
"227.0019215",218,4,214,218,4,214
"227.0196895",5426,1029,4397,5415,1029,4386
"227.0198183",6,1,5,6,1,5
"227.0309327",47,NA,47,47,NA,47
"227.0326002",43,43,NA,41,41,NA
"227.0349777",155,NA,155,155,NA,155
"227.0383214",914,92,822,913,92,821
"227.0562196",2,2,NA,1,1,NA
"227.0712937",5,NA,5,5,NA,5
"227.0747174",138,NA,138,138,NA,138
"227.0771585",2,NA,2,2,NA,2
"227.1037081",3289,3159,130,3424,3295,129
"227.1110799",1,1,NA,1,1,NA
"227.1288722",18448,11317,7131,17718,10989,6729
"227.1401024",1996,1996,NA,1996,1996,NA
"227.1652564",2831,2831,NA,2757,2757,NA
"227.2016278",75,66,9,75,66,9
"227.9608397",2,NA,2,2,NA,2
"227.9972087",11,NA,11,11,NA,11
"228.0335725",83,NA,83,83,NA,83
"228.0513116",1802,510,1292,1718,457,1261
"228.0514474",19,3,16,19,3,16
"228.0878326",42,13,29,40,13,27
"228.1241247",4293,3563,730,4293,3563,730
"228.1605095",3674,3372,302,3666,3366,300
"228.9812399",34,NA,34,33,NA,33
"229.0142045",10,10,NA,10,10,NA
"229.0175957",1386,141,1245,1386,141,1245
"229.0206056",2,2,NA,1,1,NA
"229.0353497",14349,5060,9289,14347,5058,9289
"229.0354795",4,4,NA,4,4,NA
"229.0387283",52,18,34,50,18,32
"229.0466128",47,NA,47,45,NA,45
"229.0482449",1,1,NA,1,1,NA
"229.0539812",901,28,873,901,28,873
"229.0717413",22387,10941,11446,22562,11006,11556
"229.0830046",1569,1541,28,1478,1450,28
"229.0870942",6,NA,6,6,NA,6
"229.1081151",18226,10112,8114,17981,10041,7940
"229.1193455",1812,1803,9,1811,1802,9
"229.1809126",5363,5346,17,4896,4880,16
"229.1810314",1,1,NA,1,1,NA
"230.0128488",93,11,82,93,11,82
"230.0458386",140,9,131,140,9,131
"230.0669846",2464,1372,1092,2449,1371,1078
"230.0671245",11,NA,11,11,NA,11
"230.1033909",4656,4348,308,4649,4341,308
"230.1397625",3165,3113,52,2958,2907,51
"230.9428043",1,1,NA,1,1,NA
"230.9791152",5,5,NA,4,4,NA
"230.9908993",5,5,NA,3,3,NA
"230.9969021",387,83,304,387,83,304
"231.0080586",2,NA,2,2,NA,2
"231.0146511",72,NA,72,72,NA,72
"231.0298777",8124,1689,6435,8112,1689,6423
