"Mass","Total_all_peaks","Total_all_sed","Total_all_water","Total_mf_peaks","Total_mf_sed","Total_mf_water"
"521.1408065",6,NA,6,6,NA,6
"521.1412215",26,NA,26,26,NA,26
"521.1426294",5,1,4,5,1,4
"521.1437046",26,NA,26,26,NA,26
"521.1455255",8,NA,8,8,NA,8
"521.1470264",8,6,2,1,1,NA
"521.1482543",1,NA,1,1,NA,1
"521.1487138",28,NA,28,28,NA,28
"521.1491621",3,NA,3,2,NA,2
"521.1572652",2,NA,2,2,NA,2
"521.1577948",1,NA,1,1,NA,1
"521.1584978",1994,27,1967,727,8,719
"521.1588877",14,NA,14,14,NA,14
"521.1592984",4,NA,4,2,NA,2
"521.1640886",10,10,NA,10,10,NA
"521.1663968",8833,1418,7415,8832,1418,7414
"521.1668105",22,21,1,19,18,1
"521.1671623",2,2,NA,2,2,NA
"521.1768768",1,NA,1,1,NA,1
"521.1788458",10,7,3,4,3,1
"521.1794927",3968,2263,1705,3865,2258,1607
"521.1802503",1,NA,1,1,NA,1
"521.1842206",3,NA,3,3,NA,3
"521.1908766",4,4,NA,4,4,NA
"521.1930402",4,NA,4,4,NA,4
"521.1946636",552,11,541,552,11,541
"521.1950447",18,1,17,11,NA,11
"521.1968645",8,8,NA,8,8,NA
"521.2002397",1,1,NA,1,1,NA
"521.2017715",1,1,NA,1,1,NA
"521.2027235",3679,338,3341,3664,324,3340
"521.2149971",8,6,2,7,5,2
"521.2157156",776,698,78,659,592,67
"521.2165097",2,2,NA,2,2,NA
"521.2179788",5,NA,5,5,NA,5
"521.2187729",2,2,NA,2,2,NA
"521.2210906",2,NA,2,2,NA,2
"521.2239556",11,11,NA,11,11,NA
"521.2251766",17,17,NA,14,14,NA
"521.2255039",1,1,NA,1,1,NA
"521.2293511",6,NA,6,6,NA,6
"521.2303446",1,NA,1,1,NA,1
"521.2314326",23,4,19,14,2,12
"521.2326065",17,17,NA,11,11,NA
"521.2331686",101,101,NA,101,101,NA
"521.2335707",89,89,NA,59,59,NA
"521.2368587",21,21,NA,19,19,NA
"521.2390738",2336,231,2105,2335,231,2104
"521.2394303",36,5,31,26,3,23
"521.2397646",8,8,NA,6,6,NA
"521.2514908",11,11,NA,10,10,NA
"521.2521448",3048,3019,29,3046,3017,29
"521.2528394",3,2,1,3,2,1
"521.2616642",47,47,NA,47,47,NA
"521.2708418",2,2,NA,2,2,NA
"521.2717069",1,1,NA,1,1,NA
"521.2731032",126,123,3,123,120,3
"521.2754158",173,3,170,173,3,170
"521.2762927",1,NA,1,1,NA,1
"521.2787903",3,NA,3,2,NA,2
"521.2893883",4,4,NA,1,1,NA
"521.2909444",1,1,NA,1,1,NA
"521.2920768",1,1,NA,1,1,NA
"521.3037567",244,213,31,210,179,31
"521.3044726",1,1,NA,1,1,NA
"521.3082022",4,NA,4,3,NA,3
"521.3117638",8,NA,8,8,NA,8
"521.3120988",11,1,10,11,1,10
"521.3127174",1,1,NA,1,1,NA
"521.3248563",125,125,NA,125,125,NA
"521.3256275",10,10,NA,10,10,NA
"521.3613562",3,3,NA,3,3,NA
"521.3727368",1,1,NA,1,1,NA
"522.0533304",1,NA,1,1,NA,1
"522.0672301",1,NA,1,1,NA,1
"522.0888396",1126,19,1107,1124,19,1105
"522.0891822",72,NA,72,47,NA,47
"522.0896338",1,NA,1,1,NA,1
"522.0963378",4,NA,4,2,NA,2
"522.1002671",3,NA,3,3,NA,3
"522.1100326",5,NA,5,5,NA,5
"522.1251732",566,4,562,566,4,562
"522.1255253",14,NA,14,13,NA,13
"522.1348486",1,NA,1,1,NA,1
"522.1464073",16,NA,16,16,NA,16
"522.1615064",152,NA,152,135,NA,135
"522.1745344",38,38,NA,38,38,NA
"522.1831486",1,1,NA,1,1,NA
"522.1966671",1,NA,1,1,NA,1
"522.2093204",6,6,NA,6,6,NA
"522.2109198",127,127,NA,120,120,NA
"522.2116654",2,2,NA,1,1,NA
"522.2187362",5,5,NA,3,3,NA
"522.2195952",6,6,NA,5,5,NA
"522.2344201",257,44,213,257,44,213
"522.2472778",11,11,NA,11,11,NA
"522.2482016",2,2,NA,2,2,NA
"522.2557948",17,17,NA,16,16,NA
"522.2834045",1,1,NA,1,1,NA
"522.2922183",6,6,NA,2,2,NA
"522.9647006",4,2,2,2,NA,2
"522.9702168",2,2,NA,2,2,NA
"522.9823066",1,1,NA,1,1,NA
"522.9974953",1,1,NA,1,1,NA
"522.9978419",1,1,NA,1,1,NA
"523.0152394",30,5,25,30,5,25
"523.0156961",18,NA,18,13,NA,13
"523.0160478",9,1,8,8,1,7
"523.0164267",1,NA,1,1,NA,1
"523.0190113",1,NA,1,1,NA,1
"523.0351258",1,1,NA,1,1,NA
"523.0365285",3986,521,3465,3986,521,3465
"523.0368633",41,10,31,28,5,23
"523.0495093",8,NA,8,8,NA,8
"523.0517619",1346,122,1224,1346,122,1224
"523.0522084",59,5,54,57,5,52
"523.0728235",3653,649,3004,3650,647,3003
"523.0732071",17,14,3,10,8,2
"523.0736107",2,2,NA,1,1,NA
"523.0777075",2,2,NA,2,2,NA
"523.0839589",12,NA,12,11,NA,11
"523.0842448",21,NA,21,21,NA,21
"523.0859109",98,NA,98,98,NA,98
"523.0868578",1,NA,1,1,NA,1
"523.0875995",7,1,6,3,1,2
"523.0881098",813,36,777,813,36,777
"523.0885672",36,4,32,34,4,30
"523.0889904",9,NA,9,8,NA,8
"523.0897091",1,1,NA,1,1,NA
"523.0911162",2,NA,2,1,NA,1
"523.0914516",11,NA,11,11,NA,11
"523.0939948",9,NA,9,9,NA,9
"523.0989668",29,NA,29,29,NA,29
"523.1091901",2294,216,2078,2288,216,2072
"523.1095752",24,24,NA,15,15,NA
"523.1201246",3,NA,3,3,NA,3
"523.1204749",23,NA,23,23,NA,23
"523.1235875",2,NA,2,2,NA,2
"523.1244138",94,5,89,94,5,89
"523.1248495",17,2,15,16,2,14
"523.1254097",11,1,10,9,1,8
"523.1257578",2,NA,2,2,NA,2
"523.1274065",2,NA,2,2,NA,2
"523.1280382",28,NA,28,26,NA,26
"523.1376337",1868,12,1856,1868,12,1856
"523.1387861",1,NA,1,1,NA,1
"523.1432994",1,1,NA,1,1,NA
"523.1456062",4877,902,3975,4876,902,3974
"523.1459696",31,21,10,23,13,10
"523.1463682",5,5,NA,4,4,NA
"523.1545444",2,NA,2,2,NA,2
"523.1550078",1,NA,1,1,NA,1
"523.1553001",7,NA,7,7,NA,7
"523.1571783",3,NA,3,2,NA,2
"523.1588513",354,79,275,292,56,236
"523.1598602",3,2,1,1,NA,1
"523.1610851",29,1,28,29,1,28
"523.1614475",13,1,12,13,1,12
"523.1623537",1,NA,1,1,NA,1
"523.1627947",2,NA,2,2,NA,2
"523.1644832",10,NA,10,10,NA,10
"523.1680536",4,4,NA,3,3,NA
"523.1714774",3,3,NA,3,3,NA
"523.1729425",1,NA,1,1,NA,1
"523.1739853",4216,623,3593,4215,622,3593
"523.1807782",2,2,NA,2,2,NA
"523.1820717",8362,1666,6696,8362,1666,6696
"523.1824774",18,18,NA,16,16,NA
"523.1915561",38,NA,38,38,NA,38
"523.1919246",7,NA,7,3,NA,3
"523.1941301",4,4,NA,4,4,NA
"523.1959166",7,7,NA,4,4,NA
"523.1972921",30,NA,30,30,NA,30
"523.1976301",2,NA,2,2,NA,2
"523.1990738",3,NA,3,3,NA,3
"523.2007971",44,NA,44,44,NA,44
"523.2044997",26,26,NA,26,26,NA
"523.2092334",3,NA,3,3,NA,3
"523.2104573",8569,498,8071,5218,268,4950
"523.2108763",7,NA,7,7,NA,7
"523.2136938",3,3,NA,1,1,NA
"523.2159852",2,2,NA,2,2,NA
"523.2179882",7,6,1,1,NA,1
"523.2280329",14,NA,14,15,NA,15
"523.2323015",5,5,NA,3,3,NA
"523.2331261",3,NA,3,2,NA,2
"523.2370682",9,NA,9,9,NA,9
"523.2425787",6,6,NA,6,6,NA
"523.2468227",4386,933,3453,1926,410,1516
"523.2489588",69,69,NA,69,69,NA
"523.2534483",3,NA,3,2,NA,2
"523.2539676",9,9,NA,9,9,NA
"523.2678897",2296,2296,NA,2293,2293,NA
"523.2715975",2,2,NA,2,2,NA
"523.2736827",2,NA,2,2,NA,2
"523.2830519",139,42,97,135,38,97
"523.2837452",3,1,2,3,1,2
"523.2856184",115,115,NA,32,32,NA
"523.2910766",360,335,25,290,268,22
"523.2914733",99,85,14,96,84,12
"523.3008212",17,15,2,10,9,1
"523.3195564",611,471,140,487,376,111
"523.3267173",1,1,NA,1,1,NA
"523.3275847",21,21,NA,21,21,NA
"523.3286019",1,1,NA,1,1,NA
"523.3557854",1,1,NA,1,1,NA
"523.4287889",8,8,NA,5,5,NA
"524.0465877",1,NA,1,1,NA,1
"524.0472052",20,NA,20,20,NA,20
"524.0690699",1,NA,1,1,NA,1
"524.0835797",38,NA,38,38,NA,38
"524.0938951",1,NA,1,1,NA,1
"524.1048792",39,NA,39,32,NA,32
"524.1055247",2,NA,2,2,NA,2
"524.1158941",5,NA,5,4,NA,4
"524.1198683",94,NA,94,94,NA,94
"524.1413408",31,NA,31,34,NA,34
"524.1416248",1,NA,1,1,NA,1
"524.1483343",3,2,1,1,NA,1
"524.1563042",12,NA,12,12,NA,12
"524.1862423",1,NA,1,1,NA,1
"524.1903581",1422,1422,NA,1367,1367,NA
"524.2108925",2,2,NA,1,1,NA
"524.2128907",6,6,NA,4,4,NA
"524.2217713",314,NA,314,177,NA,177
"524.2226323",1,NA,1,1,NA,1
"524.2257743",2,2,NA,2,2,NA
"524.2276567",1,1,NA,1,1,NA
"524.2297299",2,2,NA,2,2,NA
"524.2505712",4,NA,4,4,NA,4
"524.2563699",1,NA,1,1,NA,1
"524.2588808",1,NA,1,1,NA,1
"524.2706286",1,1,NA,1,1,NA
"524.2716959",2,2,NA,1,1,NA
"524.2738632",3,3,NA,3,3,NA
"524.2867888",5,1,4,2,NA,2
"524.9615913",5,4,1,5,4,1
"524.9623746",57,48,9,55,46,9
"524.9627573",15,9,6,9,4,5
"524.9949605",2,NA,2,2,NA,2
"525.0157246",114,9,105,114,9,105
"525.0160736",2,1,1,2,1,1
"525.0300715",2,NA,2,1,NA,1
"525.0309309",622,89,533,621,89,532
"525.0313313",173,NA,173,153,NA,153
"525.0317501",15,2,13,15,2,13
"525.0418776",1,NA,1,1,NA,1
"525.0521307",3039,454,2585,3038,454,2584
"525.0524979",21,3,18,21,3,18
"525.0629696",1,1,NA,1,1,NA
"525.0674542",3555,306,3249,3553,306,3247
"525.0678565",42,9,33,42,9,33
"525.0683125",9,NA,9,9,NA,9
"525.0706608",3,NA,3,3,NA,3
"525.0782549",24,NA,24,17,NA,17
"525.0786164",6,NA,6,6,NA,6
"525.0803849",29,NA,29,29,NA,29
"525.0811145",3,NA,3,3,NA,3
"525.0885729",7840,1696,6144,7836,1695,6141
"525.0889674",39,29,10,38,29,9
"525.0933424",38,38,NA,36,36,NA
"525.0999392",9,NA,9,9,NA,9
"525.1017218",43,NA,43,32,NA,32
"525.1038625",3686,160,3526,3685,160,3525
"525.1047464",6,NA,6,4,NA,4
"525.1052355",2,NA,2,2,NA,2
"525.1073535",2,NA,2,2,NA,2
"525.1105629",5,5,NA,4,4,NA
"525.1111193",2,2,NA,2,2,NA
"525.1163181",3,NA,3,1,NA,1
"525.1169923",2405,73,2332,751,20,731
"525.1173539",37,NA,37,12,NA,12
"525.1177249",4,2,2,4,2,2
"525.1237316",1,1,NA,1,1,NA
"525.1243097",2,2,NA,1,1,NA
"525.1250197",11464,2472,8992,11463,2472,8991
"525.1254173",17,14,3,16,13,3
"525.1345699",15,NA,15,15,NA,15
"525.1363999",3,NA,3,3,NA,3
"525.1381098",56,NA,56,39,NA,39
"525.1390778",1,NA,1,1,NA,1
"525.1403116",1875,30,1845,1875,30,1845
"525.1406909",38,NA,38,38,NA,38
"525.1412181",7,NA,7,6,NA,6
"525.1524599",3,2,1,3,2,1
"525.1537425",22,4,18,11,NA,11
"525.1540987",1,NA,1,1,NA,1
"525.1614051",13173,2966,10207,13172,2966,10206
"525.1617688",41,41,NA,41,41,NA
"525.1644285",3,3,NA,3,3,NA
"525.1701107",2,NA,2,2,NA,2
"525.1708429",112,2,110,112,2,110
"525.1719119",2,NA,2,2,NA,2
"525.1738065",7,7,NA,7,7,NA
"525.1743392",189,189,NA,177,177,NA
"525.1766596",3036,31,3005,3032,31,3001
"525.1770947",52,1,51,51,1,50
"525.1783067",1,NA,1,1,NA,1
"525.1798897",150,NA,150,138,NA,138
"525.1803344",7,NA,7,3,NA,3
"525.1872068",2,2,NA,2,2,NA
"525.1890552",4,3,1,3,3,NA
"525.1929725",1,1,NA,1,1,NA
"525.1968018",5,5,NA,5,5,NA
"525.2068559",2,NA,2,2,NA,2
"525.2090061",12,12,NA,11,11,NA
"525.2106012",731,731,NA,731,731,NA
"525.2133409",20,NA,20,20,NA,20
"525.2217598",1,1,NA,1,1,NA
"525.2276372",39,39,NA,39,39,NA
"525.2281234",7,7,NA,6,6,NA
"525.2284563",17,17,NA,17,17,NA
"525.2340332",4419,1498,2921,4418,1497,2921
"525.2344026",122,71,51,104,59,45
"525.2351313",1,1,NA,1,1,NA
"525.2463797",5,5,NA,3,3,NA
"525.2470626",2182,2180,2,2178,2176,2
"525.2492632",22,1,21,22,1,21
"525.2496328",3,2,1,2,2,NA
"525.2524442",1,NA,1,1,NA,1
"525.2617389",3,1,2,3,1,2
"525.2641892",3,3,NA,3,3,NA
"525.2646992",23,23,NA,23,23,NA
"525.2691933",1,NA,1,1,NA,1
"525.2706872",57,42,15,56,42,14
"525.2711074",4,4,NA,4,4,NA
"525.2733806",3,3,NA,3,3,NA
"525.2801309",1,NA,1,1,NA,1
"525.2827037",3,3,NA,3,3,NA
"525.2833815",450,450,NA,450,450,NA
"525.2845604",2,2,NA,2,2,NA
"525.2986891",152,93,59,146,88,58
"525.3070032",87,83,4,87,83,4
"525.3074445",19,19,NA,14,14,NA
"525.3182961",2,NA,2,2,NA,2
"525.3198408",21,11,10,21,11,10
"525.3350409",10,9,1,10,9,1
"525.3357028",1,1,NA,1,1,NA
"525.3424199",5,5,NA,5,5,NA
"525.3543018",3,NA,3,2,NA,2
"525.3712166",3,3,NA,3,3,NA
"525.3716512",57,57,NA,4,4,NA
"525.4525722",1,1,NA,1,1,NA
"526.0468108",2,NA,2,2,NA,2
"526.0474429",8,NA,8,8,NA,8
"526.0587124",1,NA,1,1,NA,1
"526.0626977",885,38,847,885,38,847
"526.0630941",11,NA,11,9,NA,9
"526.0634077",2,NA,2,2,NA,2
"526.0697293",1,NA,1,1,NA,1
"526.0704436",1,NA,1,1,NA,1
"526.0908634",1,NA,1,1,NA,1
"526.0995292",60,NA,60,60,NA,60
"526.0999441",4,NA,4,4,NA,4
"526.1096557",3,NA,3,3,NA,3
"526.1357672",47,NA,47,46,NA,46
"526.1361102",2,NA,2,2,NA,2
"526.1458166",6,NA,6,6,NA,6
"526.1467139",17,NA,17,17,NA,17
"526.1477847",1,1,NA,1,1,NA
"526.1485958",1191,1191,NA,121,121,NA
"526.1490125",2,1,1,1,NA,1
"526.1566707",5456,NA,5456,5455,NA,5455
"526.1637992",3,NA,3,2,NA,2
"526.1687808",1,1,NA,1,1,NA
"526.1695814",477,477,NA,427,427,NA
"526.1720315",1,NA,1,1,NA,1
"526.1929575",2731,929,1802,2731,929,1802
"526.1933392",36,4,32,34,4,30
"526.2010349",380,NA,380,220,NA,220
"526.2044738",1,1,NA,1,1,NA
"526.2052468",2,2,NA,2,2,NA
"526.2058859",545,545,NA,544,544,NA
"526.2292607",216,27,189,216,27,189
"526.2296789",37,5,32,31,5,26
"526.2367744",3,1,2,2,NA,2
"526.2423235",193,193,NA,187,187,NA
"526.2500603",8,8,NA,8,8,NA
"526.2657924",119,41,78,119,41,78
"526.2661925",2,NA,2,2,NA,2
"526.2782747",2,2,NA,1,1,NA
"526.2881849",68,68,NA,65,65,NA
"526.3497052",6,NA,6,6,NA,6
"526.9589735",2,2,NA,1,1,NA
"526.9593793",18,17,1,18,17,1
"527.0075813",2,2,NA,2,2,NA
"527.0102033",213,38,175,213,38,175
"527.0107609",31,NA,31,25,NA,25
"527.0110633",4,NA,4,4,NA,4
"527.0307964",3,NA,3,3,NA,3
"527.0315131",1312,126,1186,1312,126,1186
"527.0318692",17,2,15,17,2,15
"527.0323655",4,NA,4,4,NA,4
"527.0467883",3145,470,2675,3143,470,2673
"527.0471616",39,3,36,39,3,36
"527.0578569",10,NA,10,10,NA,10
"527.0605426",3,3,NA,1,1,NA
"527.0679337",4048,507,3541,4047,507,3540
"527.0683104",15,6,9,13,6,7
"527.0832056",2971,240,2731,2970,240,2730
"527.0836528",39,4,35,39,4,35
"527.0841216",2,NA,2,2,NA,2
"527.0909887",4,4,NA,4,4,NA
"527.0913146",1,1,NA,1,1,NA
"527.0935793",7,1,6,7,1,6
"527.0967255",22,NA,22,21,NA,21
"527.1043114",3457,353,3104,3455,353,3102
"527.1046997",9,7,2,8,6,2
"527.1074807",2,NA,2,2,NA,2
"527.1087685",1,1,NA,1,1,NA
"527.1140363",9,1,8,5,1,4
"527.1170812",4,4,NA,3,3,NA
"527.1186526",2,NA,2,2,NA,2
"527.1200043",72,6,66,41,3,38
"527.1204122",7,2,5,7,2,5
"527.1293492",1,1,NA,1,1,NA
"527.1318639",8,8,NA,3,3,NA
"527.1330378",26,4,22,23,1,22
"527.1335151",7,3,4,7,3,4
"527.1406475",12143,2091,10052,12455,2151,10304
"527.1410166",27,22,5,27,22,5
"527.1414434",2,2,NA,2,2,NA
"527.1487108",3,3,NA,1,1,NA
"527.1504478",24,NA,24,1,NA,1
"527.1558917",7159,157,7002,7158,157,7001
"527.1563235",74,2,72,74,2,72
"527.1566515",6,NA,6,5,NA,5
"527.1571738",2,NA,2,1,NA,1
"527.1592487",36,NA,36,36,NA,36
"527.1646051",2,2,NA,2,2,NA
"527.1649723",108,108,NA,2,2,NA
"527.1689685",9401,1201,8200,6434,762,5672
"527.1694243",15,5,10,15,5,10
"527.1696882",5,5,NA,5,5,NA
"527.1769645",9395,1467,7928,9393,1467,7926
"527.1773821",42,29,13,40,29,11
"527.1776648",2,2,NA,2,2,NA
"527.1780405",1,1,NA,1,1,NA
"527.1818347",3,3,NA,1,1,NA
"527.1872116",4,3,1,4,3,1
"527.1875843",4,2,2,4,2,2
"527.1896066",9,9,NA,9,9,NA
"527.1922169",1502,NA,1502,1502,NA,1502
"527.1926067",30,NA,30,27,NA,27
"527.1930117",14,NA,14,13,NA,13
"527.1933091",1,NA,1,1,NA,1
"527.1952633",6,NA,6,6,NA,6
"527.2052882",6296,802,5494,6292,800,5492
"527.2067889",2,2,NA,2,2,NA
"527.2123304",10,7,3,8,6,2
"527.2132606",2874,900,1974,2810,900,1910
"527.2136414",56,31,25,37,17,20
"527.2139764",6,1,5,5,NA,5
"527.2228904",59,NA,59,57,NA,57
"527.2239028",2,NA,2,2,NA,2
"527.2259474",30,30,NA,30,30,NA
"527.2263613",436,436,NA,436,436,NA
"527.2284939",512,3,509,512,3,509
"527.2288671",48,NA,48,37,NA,37
"527.2293371",9,NA,9,8,NA,8
"527.2297416",2,NA,2,2,NA,2
"527.2317246",6,NA,6,5,NA,5
"527.2415754",1676,325,1351,1676,325,1351
"527.2423876",3,1,2,3,1,2
"527.2438162",7,7,NA,7,7,NA
"527.2495897",924,762,162,909,747,162
"527.2505118",4,4,NA,3,3,NA
"527.2610817",7,7,NA,7,7,NA
"527.2624364",115,115,NA,115,115,NA
"527.2635804",3,3,NA,3,3,NA
"527.2650376",238,NA,238,238,NA,238
"527.2663802",1,NA,1,1,NA,1
"527.2685022",5,NA,5,4,NA,4
"527.2708451",6,6,NA,5,5,NA
"527.2779409",324,166,158,323,165,158
"527.2786639",1,NA,1,1,NA,1
"527.2803772",4,4,NA,4,4,NA
"527.2863698",43,39,4,36,32,4
"527.2867173",18,18,NA,12,12,NA
"527.2974511",4,4,NA,4,4,NA
"527.2991606",57,57,NA,51,51,NA
"527.3045196",1,1,NA,1,1,NA
"527.3143015",20,15,5,20,15,5
"527.3212797",1,1,NA,1,1,NA
"527.3224375",968,968,NA,968,968,NA
"527.3228555",26,26,NA,22,22,NA
"527.3232327",4,4,NA,3,3,NA
"527.3237595",1,1,NA,1,1,NA
"527.3257541",21,20,1,9,8,1
"527.3338102",6,NA,6,6,NA,6
"527.3507097",6,6,NA,5,5,NA
"527.3587929",22,22,NA,22,22,NA
"527.3702732",4,NA,4,4,NA,4
"527.4318204",4,4,NA,4,4,NA
"527.4469598",236,236,NA,236,236,NA
"527.9643631",1,1,NA,1,1,NA
"528.0413118",1,NA,1,1,NA,1
"528.0419935",313,NA,313,313,NA,313
"528.0425186",8,NA,8,6,NA,6
"528.0629321",18,NA,18,18,NA,18
"528.0788274",68,1,67,67,1,66
"528.0792249",3,NA,3,2,NA,2
"528.0847268",1,NA,1,1,NA,1
"528.0897076",3,NA,3,3,NA,3
"528.0995056",1848,NA,1848,1847,NA,1847
"528.1028738",1,1,NA,1,1,NA
"528.1151718",64,NA,64,64,NA,64
"528.1154801",3,NA,3,3,NA,3
"528.1252587",13,NA,13,12,NA,12
"528.1257372",48,NA,48,35,NA,35
"528.1260331",48,NA,48,48,NA,48
"528.1463299",1,1,NA,1,1,NA
"528.1505288",1,NA,1,1,NA,1
"528.1873921",13,NA,13,13,NA,13
"528.1879014",10,NA,10,5,NA,5
"528.1895502",7,3,4,2,NA,2
"528.2089723",60,NA,60,43,NA,43
"528.2216301",55,55,NA,55,55,NA
"528.2310608",104,104,NA,103,103,NA
"528.2453525",35,30,5,26,22,4
"528.2815724",9,9,NA,9,9,NA
"528.3038139",54,54,NA,52,52,NA
"528.9575715",1,NA,1,1,NA,1
"528.9579439",2,2,NA,1,1,NA
"529.0260908",760,85,675,760,85,675
"529.0264941",47,4,43,39,4,35
"529.0269014",3,NA,3,3,NA,3
"529.0395305",1,NA,1,1,NA,1
"529.0476311",44,5,39,44,5,39
"529.0480479",2,NA,2,2,NA,2
"529.0519704",15,15,NA,5,5,NA
"529.0542398",1,NA,1,1,NA,1
"529.0624704",4063,600,3463,4047,584,3463
"529.0628685",41,8,33,40,8,32
"529.0632322",2,NA,2,2,NA,2
"529.0733897",13,NA,13,13,NA,13
"529.0760781",4,NA,4,4,NA,4
"529.0763648",1,NA,1,1,NA,1
"529.0836238",2383,189,2194,2383,189,2194
"529.0839812",22,6,16,22,6,16
"529.0905328",1,NA,1,1,NA,1
"529.0922606",3,NA,3,3,NA,3
"529.0988481",4731,378,4353,4729,378,4351
"529.0992583",73,28,45,41,18,23
"529.1043562",1,1,NA,1,1,NA
"529.1092119",6,1,5,6,1,5
"529.1111748",4,NA,4,4,NA,4
"529.1123587",15,NA,15,14,NA,14
"529.1127172",2,NA,2,2,NA,2
"529.1204324",8,NA,8,8,NA,8
"529.1266773",4,NA,4,3,NA,3
"529.1296827",149,2,147,13,1,12
"529.1301547",3,NA,3,2,NA,2
"529.1339498",1,NA,1,1,NA,1
"529.1351825",10761,1193,9568,10711,1173,9538
"529.1355465",60,12,48,56,10,46
"529.1358414",3,3,NA,3,3,NA
"529.1409598",5,5,NA,4,4,NA
"529.1463555",3,3,NA,3,3,NA
"529.1482589",6002,431,5571,2891,205,2686
"529.1486682",36,5,31,33,3,30
"529.1491218",1,NA,1,1,NA,1
"529.1553654",5,5,NA,2,2,NA
"529.1562352",5575,364,5211,5558,364,5194
"529.1566179",16,4,12,14,4,10
"529.1595807",2,NA,2,2,NA,2
"529.1618787",3,3,NA,3,3,NA
"529.1622685",1,1,NA,1,1,NA
"529.1657121",125,NA,125,125,NA,125
"529.1668572",5,NA,5,4,NA,4
"529.1714748",4205,84,4121,4204,84,4120
"529.1718165",29,3,26,27,3,24
"529.1725385",1,NA,1,1,NA,1
"529.1747003",39,NA,39,38,NA,38
"529.1828185",4,4,NA,4,4,NA
"529.1852525",1,1,NA,1,1,NA
"529.1917859",11,10,1,11,10,1
"529.1925822",2872,375,2497,2869,375,2494
"529.1932088",1,NA,1,1,NA,1
"529.1935494",1,1,NA,1,1,NA
"529.2020314",42,NA,42,42,NA,42
"529.2031872",15,6,9,13,6,7
"529.2056588",38,38,NA,36,36,NA
"529.2064245",1,1,NA,1,1,NA
"529.2070521",3,NA,3,3,NA,3
"529.2078283",2661,21,2640,2661,21,2640
"529.2081989",19,1,18,16,NA,16
"529.2111723",17,NA,17,15,NA,15
"529.2192565",7,1,6,6,NA,6
"529.2208396",2881,1197,1684,2875,1195,1680
"529.2216737",6,6,NA,4,4,NA
"529.2278765",1,NA,1,1,NA,1
"529.2288014",650,494,156,244,175,69
"529.2292303",143,64,79,139,64,75
"529.2297483",10,2,8,8,1,7
"529.2385222",19,NA,19,19,NA,19
"529.2411019",1,1,NA,1,1,NA
"529.2417759",33,33,NA,33,33,NA
"529.2421012",22,22,NA,22,22,NA
"529.2434531",29,NA,29,29,NA,29
"529.2442413",1973,22,1951,1973,22,1951
"529.2446706",48,1,47,37,1,36
"529.2450328",2,NA,2,2,NA,2
"529.2475031",4,4,NA,1,1,NA
"529.2500031",28,10,18,3,2,1
"529.2566624",10,8,2,5,3,2
"529.2573138",1995,1068,927,2163,1148,1015
"529.2622823",1,1,NA,1,1,NA
"529.2652092",1323,1294,29,1151,1126,25
"529.2655974",105,103,2,100,98,2
"529.2660446",12,12,NA,8,8,NA
"529.2668824",2,2,NA,1,1,NA
"529.2780643",7,7,NA,7,7,NA
"529.2806409",174,19,155,167,15,152
"529.2809563",3,NA,3,1,NA,1
"529.2814014",1,1,NA,1,1,NA
"529.2864931",3,3,NA,3,3,NA
"529.2926594",3,3,NA,2,2,NA
"529.2937773",261,162,99,127,85,42
"529.3004568",2,2,NA,2,2,NA
"529.3017656",1249,1249,NA,1249,1249,NA
"529.3022027",57,57,NA,46,46,NA
"529.3026656",4,4,NA,4,4,NA
"529.3171582",8,NA,8,8,NA,8
"529.3300162",11,11,NA,11,11,NA
"529.3381462",531,531,NA,531,531,NA
"529.3385804",13,12,1,9,8,1
"529.3390607",3,3,NA,3,3,NA
"529.3748505",3,3,NA,3,3,NA
"529.4627096",9,9,NA,9,9,NA
"529.4756001",6,6,NA,6,6,NA
"530.0581616",17,NA,17,10,NA,10
"530.0588356",1,1,NA,1,1,NA
"530.0858888",1,NA,1,1,NA,1
"530.0944318",86,NA,86,89,NA,89
"530.1029079",3,NA,3,3,NA,3
"530.1042942",4,NA,4,4,NA,4
"530.1052515",56,NA,56,56,NA,56
"530.1152024",1213,NA,1213,1210,NA,1210
"530.1304284",2938,NA,2938,2938,NA,2938
"530.1398685",3,NA,3,3,NA,3
"530.1415386",62,NA,62,62,NA,62
"530.1602393",3,NA,3,3,NA,3
"530.1662413",2,NA,2,2,NA,2
"530.1667605",1130,NA,1130,1130,NA,1130
"530.1740002",12,NA,12,11,NA,11
"530.1772825",8,NA,8,8,NA,8
"530.1882523",38,3,35,38,3,35
"530.1991958",33,33,NA,32,32,NA
"530.2000734",13,13,NA,13,13,NA
"530.2035477",11,NA,11,8,NA,8
"530.2042681",3,NA,3,2,NA,2
"530.2611988",3,3,NA,3,3,NA
"530.2735853",6,6,NA,6,6,NA
"530.2862022",1,NA,1,1,NA,1
"530.3044228",4,4,NA,4,4,NA
"530.3698132",1,NA,1,1,NA,1
"531.0053639",86,21,65,86,21,65
"531.0057366",2,NA,2,1,NA,1
"531.0254007",1,1,NA,1,1,NA
"531.0417642",2249,197,2052,2248,197,2051
"531.0421662",49,8,41,36,7,29
"531.0551777",1,NA,1,1,NA,1
"531.0575389",1,1,NA,1,1,NA
"531.0618267",5,5,NA,4,4,NA
"531.0629135",1653,83,1570,1653,83,1570
"531.0633031",46,3,43,46,3,43
"531.0636486",14,5,9,14,5,9
