"","MolForm","PCoA1","PCoA2","Class","Group","cs.flag.emergent_sed","cs.flag.emergent_water","cs.flag.emergent_overlap","cs.flag.emergent_general.overlap","SED_S19S.0001","SED_S19S.0003","SED_S19S.0004","SED_S19S.0006","SED_S19S.0008","SED_S19S.0009","SED_S19S.0010","SED_S19S.0011","SED_S19S.0012","SED_S19S.0013","SED_S19S.0014","SED_S19S.0015","SED_S19S.0016","SED_S19S.0017","SED_S19S.0018","SED_S19S.0019","SED_S19S.0020","SED_S19S.0021","SED_S19S.0022","SED_S19S.0023","SED_S19S.0024","SED_S19S.0025","SED_S19S.0026","SED_S19S.0027","SED_S19S.0028","SED_S19S.0029","SED_S19S.0030","SED_S19S.0031","SED_S19S.0032","SED_S19S.0033","SED_S19S.0034","SED_S19S.0035","SED_S19S.0036","SED_S19S.0037","SED_S19S.0038","SED_S19S.0039","SED_S19S.0040","SED_S19S.0041","SED_S19S.0042","SED_S19S.0043","SED_S19S.0044","SED_S19S.0045","SED_S19S.0046","SED_S19S.0047","SED_S19S.0049","SED_S19S.0050","SED_S19S.0051","SED_S19S.0052","SED_S19S.0053","SED_S19S.0054","SED_S19S.0055","SED_S19S.0056","SED_S19S.0057","SED_S19S.0058","SED_S19S.0059","SED_S19S.0060","SED_S19S.0061","SED_S19S.0062","SED_S19S.0063","SED_S19S.0064","SED_S19S.0065","SED_S19S.0066","SED_S19S.0067","SED_S19S.0068","SED_S19S.0069","SED_S19S.0070","SED_S19S.0071","SED_S19S.0072","SED_S19S.0073","SED_S19S.0074","SED_S19S.0075","SED_S19S.0076","SED_S19S.0077","SED_S19S.0078","SED_S19S.0079","SED_S19S.0080","SED_S19S.0081","SED_S19S.0082","SED_S19S.0083","SED_S19S.0084","SED_S19S.0085","SED_S19S.0086","SED_S19S.0087","SED_S19S.0089","SED_S19S.0090","SED_S19S.0091","SED_S19S.0092","SED_S19S.0093","SED_S19S.0094","SED_S19S.0096","SED_S19S.0097","SED_S19S.0099","SED_S19S.0100","SW_S19S.0003","SW_S19S.0004","SW_S19S.0005","SW_S19S.0006","SW_S19S.0007","SW_S19S.0008","SW_S19S.0009","SW_S19S.0010","SW_S19S.0011","SW_S19S.0012","SW_S19S.0013","SW_S19S.0014","SW_S19S.0015","SW_S19S.0016","SW_S19S.0017","SW_S19S.0018","SW_S19S.0019","SW_S19S.0020","SW_S19S.0021","SW_S19S.0022","SW_S19S.0023","SW_S19S.0024","SW_S19S.0025","SW_S19S.0026","SW_S19S.0027","SW_S19S.0028","SW_S19S.0029","SW_S19S.0030","SW_S19S.0031","SW_S19S.0032","SW_S19S.0033","SW_S19S.0034","SW_S19S.0035","SW_S19S.0036","SW_S19S.0037","SW_S19S.0038","SW_S19S.0039","SW_S19S.0040","SW_S19S.0041","SW_S19S.0042","SW_S19S.0043","SW_S19S.0044","SW_S19S.0045","SW_S19S.0047","SW_S19S.0048","SW_S19S.0049","SW_S19S.0050","SW_S19S.0051","SW_S19S.0052","SW_S19S.0053","SW_S19S.0054","SW_S19S.0055","SW_S19S.0056","SW_S19S.0057","SW_S19S.0058","SW_S19S.0059","SW_S19S.0060","SW_S19S.0061","SW_S19S.0062","SW_S19S.0063","SW_S19S.0064","SW_S19S.0065","SW_S19S.0066","SW_S19S.0067","SW_S19S.0068","SW_S19S.0069","SW_S19S.0070","SW_S19S.0071","SW_S19S.0072","SW_S19S.0073","SW_S19S.0074","SW_S19S.0075","SW_S19S.0076","SW_S19S.0077","SW_S19S.0078","SW_S19S.0079","SW_S19S.0080","SW_S19S.0081","SW_S19S.0082","SW_S19S.0083","SW_S19S.0084","SW_S19S.0085","SW_S19S.0086","SW_S19S.0087","SW_S19S.0089","SW_S19S.0090","SW_S19S.0091","SW_S19S.0092","SW_S19S.0093","SW_S19S.0094","SW_S19S.0096","SW_S19S.0097","SW_S19S.0098","SW_S19S.0099","SW_S19S.0100"
"474","C15H17O10N","0.238523301713671","-0.0381846346006512","Tannin","Highly unsaturated compounds","In-between","Core","Sed Inbetween - Water Core","Shifter","0","0","0","1","0","1","0","1","0","1","1","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","1","0","0","1","1","0","1","0","1","0","0","1","1","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"475","C15H17O11N","0.365687679527952","0.0227756501169129","Tannin","Highly unsaturated compounds","Satellite","Core","Sed Sat - Water Core","Shifter","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"476","C15H17O11P","0.371781375696918","0.0996285898210593","Tannin","Highly unsaturated compounds","Satellite","Core","Sed Sat - Water Core","Shifter","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","0","1","1","1","1","0","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
"477","C15H17O6N","0.245468724635377","0.0144278986784254","Lignin","Highly unsaturated compounds","In-between","Core","Sed Inbetween - Water Core","Shifter","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","1","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1"
"478","C15H17O7N","0.24998895637442","-0.0366756357578833","Lignin","Highly unsaturated compounds","In-between","Core","Sed Inbetween - Water Core","Shifter","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0","0","0","1","1","0","0","0","1","0","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"479","C15H17O8N","0.240214469207542","-0.0443028502370606","Lignin","Highly unsaturated compounds","In-between","Core","Sed Inbetween - Water Core","Shifter","0","0","0","1","0","0","0","1","0","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","1","0","1","1","1","0","0","1","1","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"480","C15H17O9N","0.212805321162974","-0.0456703128873739","Lignin","Highly unsaturated compounds","In-between","Core","Sed Inbetween - Water Core","Shifter","0","0","0","1","0","1","0","0","0","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","0","0","0","1","0","0","1","1","0","1","0","1","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"481","C15H18O10","-0.0900034041273226","-0.0634106022212191","Tannin","Highly unsaturated compounds","Core","Core","Global core","Global core","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"482","C15H18O10S","0.326379539625946","0.176260287378492","Tannin","Highly unsaturated compounds","Satellite","Core","Sed Sat - Water Core","Shifter","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","0","1","1","1","1","0","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1"
"483","C15H18O11","-0.0736356106098594","-0.0688430093153784","Tannin","Highly unsaturated compounds","Core","Core","Global core","Global core","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"484","C15H18O12","0.083394172313966","-0.0777760639832541","Tannin","Highly unsaturated compounds","In-between","Core","Sed Inbetween - Water Core","Shifter","1","1","0","1","0","1","1","1","1","1","1","1","0","1","0","1","1","1","1","0","0","0","1","1","0","0","0","1","1","1","0","1","0","0","1","0","0","1","1","1","1","0","0","0","0","1","1","0","1","0","0","1","1","1","0","0","0","1","0","1","1","1","0","1","1","1","0","1","1","0","0","1","0","1","0","1","1","1","1","1","0","0","0","0","1","0","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"485","C15H18O4","0.0431520409633248","-0.063961782643859","Lignin","Highly unsaturated compounds","In-between","Core","Sed Inbetween - Water Core","Shifter","1","0","0","1","0","0","0","1","0","1","1","0","0","1","0","1","1","1","1","1","0","1","1","1","0","1","1","1","1","0","0","1","1","0","0","1","0","1","1","1","1","1","0","0","1","0","0","1","0","1","1","1","1","1","0","1","0","0","1","0","1","1","0","1","1","1","0","1","1","1","1","1","1","1","0","0","0","1","1","0","0","1","0","1","0","0","1","0","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"486","C15H18O5","-0.0880523344306203","-0.0703728208895559","Lignin","Highly unsaturated compounds","Core","Core","Global core","Global core","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"487","C15H18O6","-0.100759590001382","-0.0659471817314561","Lignin","Highly unsaturated compounds","Core","Core","Global core","Global core","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"488","C15H18O6N2","0.305375834530524","0.0454738099074004","Lignin","Highly unsaturated compounds","In-between","Core","Sed Inbetween - Water Core","Shifter","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1"
"489","C15H18O7","-0.0928720979447685","-0.0699250242698669","Lignin","Highly unsaturated compounds","Core","Core","Global core","Global core","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"490","C15H18O7N2","0.333372542935426","0.0273581124438339","Lignin","Highly unsaturated compounds","In-between","Core","Sed Inbetween - Water Core","Shifter","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1"
"491","C15H18O8","-0.0968818609310163","-0.0679071306495312","Lignin","Highly unsaturated compounds","Core","Core","Global core","Global core","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"492","C15H18O8N2","0.344383944093059","0.0738778980387217","Lignin","Highly unsaturated compounds","Satellite","Core","Sed Sat - Water Core","Shifter","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1"
"493","C15H18O8S","0.372724223349661","0.137677044122485","Lignin","Highly unsaturated compounds","Satellite","Core","Sed Sat - Water Core","Shifter","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","0","1","1","1","0","1","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1"
"494","C15H18O9","-0.0896860147973124","-0.0698673750984977","Lignin","Highly unsaturated compounds","Core","Core","Global core","Global core","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"495","C15H18O9S","0.37438714882566","0.158746827185695","Lignin","Highly unsaturated compounds","Satellite","Core","Sed Sat - Water Core","Shifter","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1","1","1","1","1","1","0","1","0","1","0","0","1","1","1","1","0","1","1","1","1","1","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1"
"496","C15H19O10P","0.17450202961632","-0.0683625764553878","Tannin","Highly unsaturated compounds","In-between","Core","Sed Inbetween - Water Core","Shifter","0","1","0","1","0","0","0","1","0","1","1","1","0","1","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","1","1","1","0","0","0","1","0","1","1","1","1","0","1","1","0","0","1","1","1","0","0","1","0","1","1","0","0","1","0","1","0","1","0","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"497","C15H19O6N","0.260547449500793","0.0380751653153365","Lignin","Highly unsaturated compounds","In-between","Core","Sed Inbetween - Water Core","Shifter","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1"
"498","C15H19O7N","0.228168647950163","-0.0335160509934493","Lignin","Highly unsaturated compounds","In-between","Core","Sed Inbetween - Water Core","Shifter","0","0","0","0","0","1","0","0","0","1","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","1","0","1","0","0","1","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"499","C15H19O8N","0.194636611531278","-0.0396934828481648","Lignin","Highly unsaturated compounds","In-between","Core","Sed Inbetween - Water Core","Shifter","0","0","0","1","0","1","1","0","0","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","1","1","1","0","0","0","1","1","0","0","0","1","0","1","0","1","0","0","1","1","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"500","C15H19O9N","0.233696443318225","-0.0459553346465407","Lignin","Highly unsaturated compounds","In-between","Core","Sed Inbetween - Water Core","Shifter","0","0","0","1","0","1","0","1","0","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","1","1","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
