Study_code,Sample_ID,00940_Cl_mg_per_L,00945_SO4_mg_per_L_as_SO4,71851_NO3_mg_per_L_as_NO3,71856_NO2_mg_per_L_as_NO2,00950_F_mg_per_L
S19S,S19S_0075_ANI-1,1.06,9.54,0.18,Below_Range_Less_Than_0.04,0.08
S19S,S19S_0075_ANI-2,1.04,9.49,0.19,Below_Range_Less_Than_0.04,0.08
S19S,S19S_0075_ANI-3,1.08,9.12,0.18,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0076_ANI-1,1.45,9.87,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.09
S19S,S19S_0076_ANI-2,1.36,9.77,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.09
S19S,S19S_0076_ANI-3,1.31,9.85,0.15,Below_Range_Less_Than_0.04,0.08
S19S,S19S_0077_ANI-1,0.78,3.47,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.16
S19S,S19S_0077_ANI-2,0.62,2.52,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.16
S19S,S19S_0077_ANI-3,0.75,3.6,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.18
S19S,S19S_0078_ANI-1,3.5,8.6,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0078_ANI-2,3.51,8.35,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0078_ANI-3,3.48,8.13,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0079_ANI-1,3.7,3.7,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0079_ANI-2,3.67,2.42,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0079_ANI-3,3.69,2,0.19,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0080_ANI-1,13.76,27.3,1.54,Below_Range_Less_Than_0.04,0.27
S19S,S19S_0080_ANI-2,14.99,79.17,1.27,Below_Range_Less_Than_0.04,0.26
S19S,S19S_0080_ANI-3,14.21,32.1,1.16,Below_Range_Less_Than_0.04,0.24
S19S,S19S_0081_ANI-1,92.26,11.64,2.95,Below_Range_Less_Than_0.04,0.09
S19S,S19S_0081_ANI-2,90.4,11.49,2.9,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0081_ANI-3,92.06,11.52,2.74,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0082_ANI-1,3874.53,515.7,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0082_ANI-2,Above_Range_Greater_Than_132,561.17,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0082_ANI-3,3964.3,535.06,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0083_ANI-1,48.18,78.7,0.61,Below_Range_Less_Than_0.04,0.22
S19S,S19S_0083_ANI-2,47.57,77.28,0.6,Below_Range_Less_Than_0.04,0.23
S19S,S19S_0083_ANI-3,23.94,40.33,0.56,Below_Range_Less_Than_0.04,0.19
S19S,S19S_0084_ANI-1,0.4,2.66,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0084_ANI-2,0.37,2.88,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0084_ANI-3,0.37,2.85,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0085_ANI-1,2.68,4.04,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.38
S19S,S19S_0085_ANI-2,2.66,4,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.37
S19S,S19S_0085_ANI-3,2.66,4,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.37
S19S,S19S_0086_ANI-1,11.18,82.35,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.12
S19S,S19S_0086_ANI-2,10.8,80.07,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.12
S19S,S19S_0086_ANI-3,10.95,81.36,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.13
S19S,S19S_0087_ANI-1,1.1,1.74,0.21,Below_Range_Less_Than_0.04,0.14
S19S,S19S_0087_ANI-2,0.99,1.7,0.27,Below_Range_Less_Than_0.04,0.11
S19S,S19S_0087_ANI-3,1.01,1.69,0.24,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0089_ANI-1,36.8,22.55,2.83,Below_Range_Less_Than_0.04,0.16
S19S,S19S_0089_ANI-2,36.66,22.77,2.66,Below_Range_Less_Than_0.04,0.19
S19S,S19S_0089_ANI-3,36.96,22.15,2.84,Below_Range_Less_Than_0.04,0.19
S19S,S19S_0090_ANI-1,20.42,36.51,21.85,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0090_ANI-2,20.52,36.86,22.87,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0090_ANI-3,20.33,36.47,21.93,Below_Range_Less_Than_0.04,0.03
S19S,S19S_0091_ANI-1,1.87,22.62,0.21,Below_Range_Less_Than_0.04,0.08
S19S,S19S_0091_ANI-2,1.87,22.72,0.2,Below_Range_Less_Than_0.04,0.08
S19S,S19S_0091_ANI-3,1.87,22.61,0.22,Below_Range_Less_Than_0.04,0.08
S19S,S19S_0092_ANI-1,31.81,45.16,53.65,1.27,0.17
S19S,S19S_0092_ANI-2,31.79,44.92,53.06,1.33,0.18
S19S,S19S_0092_ANI-3,32.45,46.24,53.6,1.48,0.31
S19S,S19S_0093_ANI-1,24.96,41.34,31.27,Below_Range_Less_Than_0.04,0.15
S19S,S19S_0093_ANI-2,20.99,41.6,30.67,Below_Range_Less_Than_0.04,0.14
S19S,S19S_0093_ANI-3,22.98,37.72,29.63,Below_Range_Less_Than_0.04,0.13
S19S,S19S_0094_ANI-1,6.21,1.31,0.5,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0094_ANI-2,6.12,1.22,0.53,Below_Range_Less_Than_0.04,0.03
S19S,S19S_0094_ANI-3,6.14,1.2,0.58,Below_Range_Less_Than_0.04,0.03
S19S,S19S_0096_ANI-1,3.22,6.08,5.43,0.07,0.09
S19S,S19S_0096_ANI-2,3.18,5.97,5.38,0.07,0.09
S19S,S19S_0096_ANI-3,3.17,6.01,5.48,0.08,0.11
S19S,S19S_0097_ANI-1,12.6,14.24,1.06,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0097_ANI-2,12.38,14.09,1.05,Below_Range_Less_Than_0.04,0.09
S19S,S19S_0097_ANI-3,12.68,14.21,1.01,Below_Range_Less_Than_0.04,0.09
S19S,S19S_0098_ANI-1,1.14,1.9,0.65,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0098_ANI-2,1.14,2.02,0.66,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0098_ANI-3,1.11,1.88,0.66,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0099_ANI-1,70.55,47.79,4.43,Below_Range_Less_Than_0.04,0.33
S19S,S19S_0099_ANI-2,68.35,45.59,4.64,Below_Range_Less_Than_0.04,0.29
S19S,S19S_0099_ANI-3,66.16,44.37,4.75,Below_Range_Less_Than_0.04,0.3
S19S,S19S_0100_ANI-1,0.22,34.62,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.09
S19S,S19S_0100_ANI-2,0.2,34.82,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0100_ANI-3,0.2,34.8,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.06
