Study_code,Sample_ID,000681_NPOC_mg_per_L_as_C
WHONDRS_S19S,S19S_0070_ICR-1,0.85
WHONDRS_S19S,S19S_0070_ICR-2,1.48
WHONDRS_S19S,S19S_0070_ICR-3,1.46
WHONDRS_S19S,S19S_0071_ICR-1,2.46
WHONDRS_S19S,S19S_0071_ICR-2,2.71
WHONDRS_S19S,S19S_0071_ICR-3,2.6
WHONDRS_S19S,S19S_0072_ICR-1,2.56
WHONDRS_S19S,S19S_0072_ICR-2,3.58
WHONDRS_S19S,S19S_0072_ICR-3,3.86
WHONDRS_S19S,S19S_0073_ICR-1,6.36
WHONDRS_S19S,S19S_0073_ICR-2,6.6
WHONDRS_S19S,S19S_0073_ICR-3,7.06
WHONDRS_S19S,S19S_0074_ICR-1,1.18
WHONDRS_S19S,S19S_0074_ICR-2,1.45
WHONDRS_S19S,S19S_0074_ICR-3,1.48
WHONDRS_S19S,S19S_0075_ICR-1,0.74
WHONDRS_S19S,S19S_0075_ICR-2,1.44
WHONDRS_S19S,S19S_0075_ICR-3,2.05
WHONDRS_S19S,S19S_0076_ICR-1,1.49
WHONDRS_S19S,S19S_0076_ICR-2,1.26
WHONDRS_S19S,S19S_0076_ICR-3,1.67
WHONDRS_S19S,S19S_0077_ICR-1,1.94
WHONDRS_S19S,S19S_0077_ICR-2,2.64
WHONDRS_S19S,S19S_0077_ICR-3,2.09
WHONDRS_S19S,S19S_0078_ICR-1,2.47
WHONDRS_S19S,S19S_0078_ICR-2,2.56
WHONDRS_S19S,S19S_0078_ICR-3,2.27
WHONDRS_S19S,S19S_0079_ICR-1,1.31
WHONDRS_S19S,S19S_0079_ICR-2,1.31
WHONDRS_S19S,S19S_0079_ICR-3,1.38
WHONDRS_S19S,S19S_0080_ICR-1,2.71
WHONDRS_S19S,S19S_0080_ICR-2,2.72
WHONDRS_S19S,S19S_0081_ICR-1,2.86
WHONDRS_S19S,S19S_0081_ICR-2,2.87
WHONDRS_S19S,S19S_0081_ICR-3,2.32
WHONDRS_S19S,S19S_0082_ICR-1,5.51
WHONDRS_S19S,S19S_0082_ICR-2,5.44
WHONDRS_S19S,S19S_0082_ICR-3,5.39
WHONDRS_S19S,S19S_0083_ICR-1,3.75
WHONDRS_S19S,S19S_0083_ICR-2,2.49
WHONDRS_S19S,S19S_0083_ICR-3,2.9
WHONDRS_S19S,S19S_0084_ICR-1,1.77
WHONDRS_S19S,S19S_0084_ICR-2,2.15
