Sample_ID,slope_of_the_regression,rate_mg_per_L_per_min,rate_mg_per_L_per_h,R_squared,R_squared_adj,p_value,total_incubation_time_min
S19S_0066_SED_INC-D,-0.01,0.01,0.83,0.979,0.974,0.001,121
S19S_0069_SED_INC-D,0,0,0.3,0.891,0.864,0.001,97
S19S_0070_SED_INC-D,-0.01,0.01,0.47,0.952,0.94,0.001,101
S19S_0071_SED_INC-D,-0.24,0.24,14.41,1,1,0.002,23
S19S_0072_SED_INC-D,-0.02,0.02,1.01,0.748,0.685,0.005,101
S19S_0073_SED_INC-D,-0.42,0.42,25.45,0.928,0.892,0.083,14
S19S_0074_SED_INC-D,-0.03,0.03,1.7,0.995,0.994,0.001,114
S19S_0075_SED_INC-D,-0.02,0.02,1.33,0.985,0.982,0.001,100
S19S_0076_SED_INC-D,-0.08,0.08,5.04,0.993,0.986,0.007,35
S19S_0077_SED_INC-D,-0.03,0.03,1.68,0.994,0.992,0.001,88
S19S_0080_SED_INC-D,-0.02,0.02,1.02,0.98,0.977,0.001,116
S19S_0082_SED_INC-D,-0.19,0.19,11.47,1,NA,NA,27
S19S_0083_SED_INC-D,-0.08,0.08,4.75,0.985,0.977,0.007,39
S19S_0084_SED_INC-D,-0.02,0.02,1.07,0.995,0.994,0.001,112
S19S_0085_SED_INC-D,-0.02,0.02,1.34,0.942,0.934,0.002,128
S19S_0086_SED_INC-D,-0.08,0.08,4.63,0.973,0.959,0.009,41
S19S_0090_SED_INC-D,-0.22,0.22,13.31,1,NA,NA,17
S19S_0097_SED_INC-D,-0.31,0.31,18.48,1,NA,NA,15
S19S_0098_SED_INC-D,-0.13,0.13,7.56,0.935,0.87,0.033,26
S19S_0099_SED_INC-D,-0.03,0.03,1.75,0.996,0.995,0.001,108
