sample,total.transformations
Sample_S19S_0069_ICR.2_p05,35862
Sample_S19S_0069_ICR.3_p05,35080
Sample_S19S_0069_Sed_Field_ICR.D_p2,33458
Sample_S19S_0069_Sed_Field_ICR.M_p2,35684
Sample_S19S_0069_Sed_Field_ICR.U_p2,35053
Sample_S19S_0070_ICR.1_p05,41170
Sample_S19S_0070_ICR.2_p05,37334
Sample_S19S_0070_ICR.3_p05,36068
Sample_S19S_0070_Sed_Field_ICR.D_p2,33329
Sample_S19S_0070_Sed_Field_ICR.M_p2,31949
Sample_S19S_0070_Sed_Field_ICR.U_p2,38405
Sample_S19S_0071_ICR.1_p05,31998
Sample_S19S_0071_ICR.2_p05,28099
Sample_S19S_0071_ICR.3_p05,33751
Sample_S19S_0071_Sed_Field_ICR.M_p2,33656
Sample_S19S_0071_Sed_Field_ICR.U_p2,28868
Sample_S19S_0072_ICR.1_p05,45034
Sample_S19S_0072_ICR.2_p05,44618
Sample_S19S_0072_ICR.3_p05,48319
Sample_S19S_0072_Sed_Field_ICR.M_p2,30543
Sample_S19S_0072_Sed_Field_ICR.U_p2,37106
Sample_S19S_0073_ICR.1_p05,51874
Sample_S19S_0073_ICR.2_p05,58603
Sample_S19S_0073_ICR.3_p05,57190
Sample_S19S_0073_Sed_Field_ICR.D_p2,36902
Sample_S19S_0073_Sed_Field_ICR.M_p2,33287
Sample_S19S_0073_Sed_Field_ICR.U_p2,35026
Sample_S19S_0074_ICR.1_p05,48880
Sample_S19S_0074_ICR.2_p05,48286
Sample_S19S_0074_ICR.3_p05,53727
Sample_S19S_0074_Sed_Field_ICR.M_p2,31108
Sample_S19S_0074_Sed_Field_ICR.U_p2,31570
Sample_S19S_0075_ICR.1_p05,47442
Sample_S19S_0075_ICR.2_p05,52734
Sample_S19S_0075_ICR.3_p05,30229
Sample_S19S_0075_Sed_Field_ICR.D_p2,21050
Sample_S19S_0075_Sed_Field_ICR.M_p2,26216
Sample_S19S_0076_ICR.1_p05,53441
Sample_S19S_0076_ICR.2_p05,47173
Sample_S19S_0076_ICR.3_p05,52690
Sample_S19S_0076_Sed_Field_ICR.D_p2,25182
Sample_S19S_0076_Sed_Field_ICR.M_p1,25983
Sample_S19S_0076_Sed_Field_ICR.U_p1,34067
Sample_S19S_0077_ICR.1_p05,45294
